file,line,module,bound_name,confidence
rl/custom_ppo/update/update_order.py,3,__future__.annotations,annotations,high
rl/evaluation/aggregation.py,2,__future__.annotations,annotations,high
rl/evaluation/artifact_writer.py,2,__future__.annotations,annotations,high
rl/evaluation/checkpoint.py,7,__future__.annotations,annotations,high
rl/evaluation/config.py,2,__future__.annotations,annotations,high
rl/evaluation/env_factory.py,7,__future__.annotations,annotations,high
rl/evaluation/env_factory.py,9,math,math,high
rl/evaluation/episode_runner.py,2,__future__.annotations,annotations,high
rl/evaluation/errors.py,7,__future__.annotations,annotations,high
rl/evaluation/gates.py,2,__future__.annotations,annotations,high
rl/evaluation/manifest.py,6,__future__.annotations,annotations,high
rl/evaluation/matched_seed.py,2,__future__.annotations,annotations,high
rl/evaluation/models.py,6,__future__.annotations,annotations,high
rl/evaluation/opponent_resolution.py,6,__future__.annotations,annotations,high
rl/evaluation/orchestrator.py,2,__future__.annotations,annotations,high
rl/evaluation/policy_loader.py,7,__future__.annotations,annotations,high
rl/evaluation/preflight.py,2,__future__.annotations,annotations,high
rl/evaluation/progress.py,6,__future__.annotations,annotations,high
rl/evaluation/router_ablation.py,8,__future__.annotations,annotations,high
rl/evaluation/_obs.py,6,__future__.annotations,annotations,high
rl/evaluation/probes/counterfactual.py,2,__future__.annotations,annotations,high
rl/evaluation/probes/obstacle_gradient.py,2,__future__.annotations,annotations,high
rl/evaluation/probes/obstacle_weights.py,2,__future__.annotations,annotations,high
rl/evaluation/probes/results.py,23,__future__.annotations,annotations,high
rl/evaluation/probes/runtime.py,2,__future__.annotations,annotations,high
rl/presets/compatibility.py,9,__future__.annotations,annotations,high
rl/presets/hypothesis.py,3,__future__.annotations,annotations,high
rl/presets/models.py,7,__future__.annotations,annotations,high
rl/presets/other.py,3,__future__.annotations,annotations,high
rl/presets/other.py,6,rl.presets.plan_faithful.apply_latent_a1_plan_faithful,apply_latent_a1_plan_faithful,high
rl/presets/plan_faithful.py,5,__future__.annotations,annotations,high
rl/presets/registry.py,21,__future__.annotations,annotations,high
rl/presets/serialization.py,17,__future__.annotations,annotations,high
rl/presets/validation.py,14,__future__.annotations,annotations,high
rl/presets/validation.py,16,typing.Sequence,Sequence,high
rl/presets/_registry_source.py,8,__future__.annotations,annotations,high
rl/presets/__init__.py,3,__future__.annotations,annotations,high
rl/presets/__init__.py,608,rl.presets.registry.build_registry_from_dict,build_registry_from_dict,high
rl/presets/__init__.py,616,rl.presets.validation.assert_preset_valid,assert_preset_valid,high
rl/presets/__init__.py,616,rl.presets.validation.validate_preset,validate_preset,high
rl/presets/families/plan_faithful/base.py,2,__future__.annotations,annotations,high
rl/presets/families/plan_faithful/early.py,2,__future__.annotations,annotations,high
rl/presets/families/plan_faithful/v3i_consequence.py,2,__future__.annotations,annotations,high
rl/presets/families/plan_faithful/v3i_consequence.py,4,rl.config.ppo_config.TrainMode,TrainMode,high
rl/presets/families/plan_faithful/v3i_event_router.py,2,__future__.annotations,annotations,high
rl/presets/families/plan_faithful/v3i_event_router.py,4,rl.config.ppo_config.TrainMode,TrainMode,high
rl/presets/families/plan_faithful/v3i_specialization.py,2,__future__.annotations,annotations,high
rl/presets/families/plan_faithful/v3_router.py,2,__future__.annotations,annotations,high
