path,name,extension,size_bytes,size_mb,classification,reason
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_950000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_950000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 950000
checkpoints/2v2/ckpt_v6i8_adapter_balanced_OP5_OP6_OP7_1m_2v2_100000.zip,ckpt_v6i8_adapter_balanced_OP5_OP6_OP7_1m_2v2_100000.zip,.zip,45207888,43.11,ARCHIVE,"early periodic checkpoint at step 100000 — non-final, low-step"
checkpoints/2v2/ckpt_v6i8_adapter_balanced_OP5_OP6_OP7_1m_2v2_150000.zip,ckpt_v6i8_adapter_balanced_OP5_OP6_OP7_1m_2v2_150000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 150000
checkpoints/2v2/ckpt_v6i8_adapter_balanced_OP5_OP6_OP7_1m_2v2_200000.zip,ckpt_v6i8_adapter_balanced_OP5_OP6_OP7_1m_2v2_200000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 200000
checkpoints/2v2/ckpt_v6i8_adapter_balanced_OP5_OP6_OP7_1m_2v2_250000.zip,ckpt_v6i8_adapter_balanced_OP5_OP6_OP7_1m_2v2_250000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 250000
checkpoints/2v2/ckpt_v6i8_adapter_balanced_OP5_OP6_OP7_1m_2v2_50000.zip,ckpt_v6i8_adapter_balanced_OP5_OP6_OP7_1m_2v2_50000.zip,.zip,45207745,43.11,ARCHIVE,"early periodic checkpoint at step 50000 — non-final, low-step"
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_100000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_100000.zip,.zip,42040016,40.09,ARCHIVE,"early periodic checkpoint at step 100000 — non-final, low-step"
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_1000000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_1000000.zip,.zip,42040119,40.09,KEEP,periodic checkpoint at step 1000000
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_150000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_150000.zip,.zip,42040016,40.09,KEEP,periodic checkpoint at step 150000
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_200000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_200000.zip,.zip,42040016,40.09,KEEP,periodic checkpoint at step 200000
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_250000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_250000.zip,.zip,42040016,40.09,KEEP,periodic checkpoint at step 250000
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_300000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_300000.zip,.zip,42040016,40.09,KEEP,periodic checkpoint at step 300000
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_350000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_350000.zip,.zip,42040016,40.09,KEEP,periodic checkpoint at step 350000
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_400000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_400000.zip,.zip,42040016,40.09,KEEP,periodic checkpoint at step 400000
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_450000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_450000.zip,.zip,42040016,40.09,KEEP,periodic checkpoint at step 450000
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_50000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_50000.zip,.zip,42039785,40.09,ARCHIVE,"early periodic checkpoint at step 50000 — non-final, low-step"
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_500000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_500000.zip,.zip,42040016,40.09,KEEP,periodic checkpoint at step 500000
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_550000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_550000.zip,.zip,42040016,40.09,KEEP,periodic checkpoint at step 550000
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_600000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_600000.zip,.zip,42040016,40.09,KEEP,periodic checkpoint at step 600000
checkpoints/2v2/ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_650000.zip,ckpt_v6i9-mapaware-generalist-hardpool-seed1_2v2_650000.zip,.zip,42040016,40.09,KEEP,periodic checkpoint at step 650000
