episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score
153,1,186.417,300.069,428,30,0,4.80768,2.85713,0.15,OP1,scripted,OP1,2,0
154,1,181.566,257.796,345,25,0,6.21269,3.05782,0.225,OP1,scripted,OP1,3,0
155,1,30.492,187.11,215,24,0,4.70494,2.68149,0.191667,OP1,scripted,OP1,3,0
156,1,20.097,300.069,413,24,0,5.03986,3.07734,0.316667,OP1,scripted,OP1,3,0
157,1,293.832,300.069,418,27,0,5.57987,3.13332,0.241667,OP1,scripted,OP1,1,0
158,1,124.047,300.069,396,25,0,5.63387,3.17347,0.25,OP1,scripted,OP1,2,0
159,1,81.774,271.656,357,22,0,5.66526,3.37837,0.325,OP1,scripted,OP1,3,0
160,1,67.221,300.069,396,36,0,4.88554,2.57765,0.183333,OP1,scripted,OP1,2,0
161,1,194.04,300.069,418,26,0,4.73022,2.60866,0.266667,OP1,scripted,OP1,1,0
162,1,24.948,136.521,149,22,0,4.7383,3.08827,0.191667,OP1,scripted,OP1,3,0
163,1,41.58,126.126,120,14,0,4.82726,3.16413,0.316667,OP1,scripted,OP1,3,0
164,1,29.106,300.069,396,32,0,4.84179,2.70978,0.158333,OP1,scripted,OP1,2,0
165,1,212.751,300.069,407,41,0,4.95615,2.91614,0.241667,OP1,scripted,OP1,2,0
166,1,25.641,181.566,207,15,0,4.15523,2.27567,0.233333,OP1,scripted,OP1,3,0
167,1,30.492,148.995,174,9,0,5.02548,3.02483,0.133333,OP1,scripted,OP1,3,0
168,1,19.404,114.345,122,21,0,4.18431,3.0844,0.116667,OP1,scripted,OP1,3,0
169,1,164.934,300.069,425,40,0,4.35928,2.80357,0.166667,OP1,scripted,OP1,2,0
170,1,36.729,300.069,404,42,0,4.3277,2.82325,0.116667,OP1,scripted,OP1,2,0
171,1,129.591,225.225,268,17,0,5.8325,3.27463,0.3,OP1,scripted,OP1,3,0
172,1,51.975,198.198,211,23,0,6.18931,3.47328,0.158333,OP1,scripted,OP1,3,0
173,1,30.492,249.48,321,25,0,5.40352,3.37122,0.208333,OP1,scripted,OP1,3,0
174,1,28.413,206.514,249,22,0,4.041,2.57899,0.241667,OP1,scripted,OP1,3,0
175,1,23.562,115.731,124,18,0,5.12871,2.89096,0.158333,OP1,scripted,OP1,3,0
176,1,26.334,300.069,414,16,0,5.51787,2.84506,0.241667,OP1,scripted,OP1,1,0
177,1,34.65,209.979,254,34,0,4.30772,2.79692,0.291667,OP1,scripted,OP1,3,0
178,1,37.422,292.446,367,25,0,4.79607,3.01063,0.3,OP1,scripted,OP1,3,0
179,1,100.485,258.489,338,23,0,4.01471,2.33624,0.166667,OP1,scripted,OP1,3,0
180,1,87.318,223.839,287,14,0,5.03885,3.02115,0.2,OP1,scripted,OP1,3,0
181,1,40.887,199.584,233,29,0,5.56725,3.43497,0.291667,OP1,scripted,OP1,3,0
182,1,146.223,300.069,389,29,0,4.66552,2.56462,0.175,OP1,scripted,OP1,2,0
183,1,71.379,300.069,418,36,0,5.29391,3.08385,0.183333,OP1,scripted,OP1,2,0
184,1,35.343,119.196,22,102,0,5.25191,3.15991,0.208333,OP1,scripted,OP1,3,0
185,1,36.729,247.401,317,44,0,4.47852,3.26328,0.191667,OP1,scripted,OP1,3,0
186,1,60.984,300.069,385,52,0,4.30658,2.78971,0.2,OP1,scripted,OP1,2,0
187,1,24.255,150.381,173,21,0,5.64811,3.25465,0.2,OP1,scripted,OP1,3,0
188,1,22.176,128.898,149,26,0,5.27156,4.04579,0.241667,OP1,scripted,OP1,3,0
189,1,55.44,233.541,259,34,0,4.37962,2.54672,0.141667,OP1,scripted,OP1,3,0
190,1,30.492,121.275,118,20,0,3.90355,2.30022,0.158333,OP1,scripted,OP1,3,0
191,1,59.598,153.153,146,36,0,4.24976,2.49047,0.158333,OP1,scripted,OP1,3,0
192,1,60.984,112.266,14,102,0,4.07029,2.28236,0.133333,OP1,scripted,OP1,3,0
193,1,261.261,300.069,391,66,0,6.89287,3.42013,0.358333,OP1,scripted,OP1,1,0
194,1,24.948,79.002,49,20,0,4.53502,2.83125,0.141667,OP1,scripted,OP1,3,0
195,1,30.492,246.708,312,30,0,4.89169,3.00068,0.283333,OP1,scripted,OP1,3,0
196,1,25.641,97.713,57,53,0,3.27639,2.48111,0.166667,OP1,scripted,OP1,3,0
197,1,28.413,160.083,23,172,0,5.59625,3.22321,0.216667,OP1,scripted,OP1,3,0
198,1,59.598,126.126,121,24,0,5.72289,3.49592,0.216667,OP1,scripted,OP1,3,0
199,1,79.002,273.042,353,43,0,5.93186,3.34458,0.291667,OP1,scripted,OP1,3,0
200,1,171.864,300.069,46,402,0,4.05061,2.78247,0.266667,OP1,scripted,OP1,2,0
201,1,13.86,53.361,47,21,0,5.87732,3.47046,0.175,OP2,scripted,OP1,3,0
202,1,36.036,86.625,27,85,0,6.2311,3.19042,0.166667,OP2,scripted,OP1,3,0
203,1,20.79,108.108,124,23,0,6.1444,3.20954,0.225,OP2,scripted,OP1,3,0
204,1,11.781,55.44,26,15,0,7.185,3.96156,0.175,OP2,scripted,OP2,3,0
205,1,22.869,94.248,45,23,0,5.60853,3.50124,0.225,OP2,scripted,OP2,3,0
206,1,27.027,183.645,248,37,0,6.05665,3.74954,0.258333,OP2,scripted,OP1,3,0
207,1,14.553,65.835,43,12,0,5.95683,3.40961,0.183333,OP2,scripted,OP2,3,0
208,1,15.246,72.072,34,15,0,5.51847,3.40226,0.175,OP2,scripted,OP2,3,0
209,1,22.176,62.37,57,12,0,6.30028,3.09393,0.175,OP2,scripted,OP2,3,0
210,1,35.343,84.546,53,19,0,7.43474,4.01944,0.175,OP2,scripted,OP2,3,0
211,1,25.641,96.327,63,24,0,7.2528,4.27902,0.225,OP2,scripted,OP2,3,0
212,1,18.018,74.151,52,11,0,6.56923,3.8036,0.216667,OP2,scripted,OP2,3,0
213,1,16.632,81.081,45,19,0,6.70376,3.69298,0.183333,OP2,scripted,OP2,3,0
214,1,62.37,114.345,65,30,0,6.72461,4.07734,0.266667,OP2,scripted,OP2,3,0
215,1,36.729,92.169,54,32,0,5.76386,3.66114,0.208333,OP2,scripted,OP2,3,0
216,1,38.808,65.835,40,20,0,6.27814,3.83389,0.116667,OP2,scripted,OP2,3,0
217,1,20.097,138.6,82,36,0,5.06327,3.34254,0.208333,OP2,scripted,OP2,3,0
218,1,26.334,47.817,27,12,0,6.1827,3.79743,0.141667,OP2,scripted,OP2,3,0
219,1,37.422,65.835,56,18,0,5.29337,3.4827,0.15,OP2,scripted,OP2,3,0
220,1,11.781,52.668,30,6,0,6.62892,3.9949,0.116667,OP2,scripted,OP2,3,0
221,1,24.948,54.054,29,18,0,5.00875,3.56868,0.15,OP2,scripted,OP2,3,0
222,1,49.203,117.117,46,32,0,5.78819,3.33194,0.191667,OP2,scripted,OP2,3,0
223,1,27.72,85.239,45,18,0,5.73135,3.35048,0.208333,OP2,scripted,OP2,3,0
224,1,17.325,92.169,41,25,0,5.80356,3.83292,0.183333,OP2,scripted,OP2,3,0
225,1,45.045,72.765,48,14,0,6.0815,3.56499,0.183333,OP2,scripted,OP2,3,0
226,1,19.404,112.959,77,25,0,5.91295,3.60415,0.158333,OP2,scripted,OP2,3,0
227,1,43.659,72.072,37,18,0,5.60948,3.17679,0.208333,OP2,scripted,OP2,3,0
228,1,23.562,57.519,31,18,0,7.52767,3.9604,0.175,OP2,scripted,OP2,3,0
229,1,31.185,89.397,54,15,0,5.61954,3.32235,0.175,OP2,scripted,OP2,3,0
230,1,18.711,79.002,51,24,0,6.50851,3.66102,0.191667,OP2,scripted,OP2,3,0
