agent_id,blue_mine_kills,blue_score,episode_steps,flag_carries,macro_0,macro_2,macro_4,map_name,map_path,max_time,mine_attempts,mines_placed_enemy_half,mines_triggered_by_red,opponent_key,opponent_kind,phase_name,red_mine_kills,red_score,result,score_limit,side
0,0,0,41,0,29,8,4,empty_20x20,,200.0,0,0,0,RUSHER,SPECIES,OP1,0,3,LOSS,3,blue
1,0,0,41,20,26,7,8,empty_20x20,,200.0,0,0,0,RUSHER,SPECIES,OP1,0,3,LOSS,3,blue
0,0,1,201,0,125,39,37,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,105,143,24,34,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
0,0,0,42,0,30,6,6,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,42,0,22,11,9,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,43,0,26,10,7,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,43,0,31,4,8,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,1,201,0,125,39,37,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,31,124,43,34,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
0,0,1,201,0,125,39,37,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,110,146,21,34,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
0,0,0,42,0,30,6,6,empty_20x20,,200.0,0,0,0,BALANCED,SPECIES,OP1,0,3,LOSS,3,blue
1,0,0,42,0,22,11,9,empty_20x20,,200.0,0,0,0,BALANCED,SPECIES,OP1,0,3,LOSS,3,blue
0,0,0,43,0,26,10,7,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,43,0,31,4,8,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,44,0,34,5,5,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,44,0,31,5,8,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,1,201,0,125,39,37,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,31,124,43,34,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
0,0,0,42,0,30,6,6,empty_20x20,,200.0,0,0,0,CAMPER,SPECIES,OP1,0,3,LOSS,3,blue
1,0,0,42,0,22,11,9,empty_20x20,,200.0,0,0,0,CAMPER,SPECIES,OP1,0,3,LOSS,3,blue
0,0,1,201,0,125,39,37,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,105,143,24,34,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
0,0,1,201,0,125,39,37,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,110,146,21,34,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
0,0,1,201,0,125,39,37,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,110,146,21,34,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
