policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,wall_collision_source,stuck_steps,stuck_source,repeated_blocked_movement,upper_lane_use,lower_lane_use,route_switches,route_source,episode_steps
candidate,map_a_open,OP8,OP8,OP8,7051,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,69
baseline,map_a_open,OP8,OP8,OP8,7052,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,74
candidate,map_a_open,OP8,OP8,OP8,7052,2.0,3.0,0,1,0,-1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,96
baseline,map_a_open,OP8,OP8,OP8,7053,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,82
candidate,map_a_open,OP8,OP8,OP8,7053,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,92
baseline,map_a_open,OP8,OP8,OP8,7054,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,92
candidate,map_a_open,OP8,OP8,OP8,7054,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,100
baseline,map_a_open,OP8,OP8,OP8,7055,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,80
candidate,map_a_open,OP8,OP8,OP8,7055,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,80
baseline,map_a_open,OP8,OP8,OP8,7056,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,88
candidate,map_a_open,OP8,OP8,OP8,7056,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,85
baseline,map_a_open,OP8,OP8,OP8,7057,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,82
candidate,map_a_open,OP8,OP8,OP8,7057,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,79
baseline,map_a_open,OP8,OP8,OP8,7058,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,77
candidate,map_a_open,OP8,OP8,OP8,7058,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,86
baseline,map_a_open,OP8,OP8,OP8,7059,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,77
candidate,map_a_open,OP8,OP8,OP8,7059,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,77
baseline,map_a_open,OP8,OP8,OP8,7060,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,78
candidate,map_a_open,OP8,OP8,OP8,7060,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,86
baseline,map_a_open,OP8,OP8,OP8,7061,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,114
candidate,map_a_open,OP8,OP8,OP8,7061,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,9.0,episode_info,108
baseline,map_a_open,OP8,OP8,OP8,7062,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,91
candidate,map_a_open,OP8,OP8,OP8,7062,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,85
baseline,map_a_open,OP8,OP8,OP8,7063,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,86
candidate,map_a_open,OP8,OP8,OP8,7063,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,2.0,episode_info,82
baseline,map_a_open,OP8,OP8,OP8,7064,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,84
candidate,map_a_open,OP8,OP8,OP8,7064,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,79
baseline,map_a_open,OP8,OP8,OP8,7065,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,82
candidate,map_a_open,OP8,OP8,OP8,7065,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,82
baseline,map_a_open,OP8,OP8,OP8,7066,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,82
candidate,map_a_open,OP8,OP8,OP8,7066,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,13.0,episode_info,121
baseline,map_a_open,OP8,OP8,OP8,7067,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,81
candidate,map_a_open,OP8,OP8,OP8,7067,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,95
baseline,map_a_open,OP8,OP8,OP8,7068,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,84
candidate,map_a_open,OP8,OP8,OP8,7068,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,85
baseline,map_a_open,OP8,OP8,OP8,7069,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,93
candidate,map_a_open,OP8,OP8,OP8,7069,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,3.0,episode_info,97
baseline,map_a_open,OP8,OP8,OP8,7070,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,10.0,episode_info,127
candidate,map_a_open,OP8,OP8,OP8,7070,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,101
baseline,map_a_open,OP8,OP8,OP8,7071,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,84
candidate,map_a_open,OP8,OP8,OP8,7071,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,81
baseline,map_a_open,OP8,OP8,OP8,7072,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,91
candidate,map_a_open,OP8,OP8,OP8,7072,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,77
baseline,map_a_open,OP8,OP8,OP8,7073,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,102
candidate,map_a_open,OP8,OP8,OP8,7073,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,72
baseline,map_a_open,OP8,OP8,OP8,7074,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,78
candidate,map_a_open,OP8,OP8,OP8,7074,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,83
baseline,map_a_open,OP8,OP8,OP8,7075,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,79
candidate,map_a_open,OP8,OP8,OP8,7075,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,75
