team_size,model,episode,blue_score,red_score,success,decision_steps,return
4v4,Jacob et al.,1,3,0,1,109,-6.6331
4v4,Jacob et al.,2,3,0,1,134,-8.5669
4v4,Jacob et al.,3,3,0,1,192,-12.5720
4v4,Jacob et al.,4,3,0,1,98,-4.1805
4v4,Jacob et al.,5,3,1,1,147,-13.9314
4v4,Jacob et al.,6,3,0,1,92,-3.7970
4v4,Jacob et al.,7,3,0,1,120,-7.5362
4v4,Jacob et al.,8,3,0,1,90,-5.6486
4v4,Jacob et al.,9,3,0,1,93,-3.2926
4v4,Jacob et al.,10,3,0,1,96,-5.6897
4v4,Jacob et al.,11,3,0,1,86,-0.4613
4v4,Jacob et al.,12,3,0,1,112,-4.7174
4v4,Jacob et al.,13,3,1,1,102,-4.7764
4v4,Jacob et al.,14,3,0,1,164,-13.9927
4v4,Jacob et al.,15,3,0,1,162,-15.0543
4v4,Jacob et al.,16,3,0,1,161,-11.3093
4v4,Jacob et al.,17,3,0,1,81,-4.5909
4v4,Jacob et al.,18,3,1,1,146,-9.4062
4v4,Jacob et al.,19,3,1,1,176,-11.2500
4v4,Jacob et al.,20,3,1,1,148,-9.8546
4v4,Jacob et al.,21,3,0,1,135,-6.6736
4v4,Jacob et al.,22,3,0,1,132,-8.5010
4v4,Jacob et al.,23,3,0,1,161,-10.9672
4v4,Jacob et al.,24,3,1,1,290,-14.5945
4v4,Jacob et al.,25,3,0,1,82,-5.1960
4v4,Jacob et al.,26,3,0,1,106,-4.8247
4v4,Jacob et al.,27,3,0,1,114,-7.6450
4v4,Jacob et al.,28,3,0,1,112,-7.4760
4v4,Jacob et al.,29,3,0,1,166,-9.8922
4v4,Jacob et al.,30,3,0,1,113,-10.5800
4v4,Jacob et al.,31,0,1,0,400,-16.1272
4v4,Jacob et al.,32,3,1,1,120,-6.2323
4v4,Jacob et al.,33,3,0,1,88,-5.0758
4v4,Jacob et al.,34,3,2,1,271,-14.5399
4v4,Jacob et al.,35,3,1,1,204,-11.3940
4v4,Jacob et al.,36,3,0,1,113,-8.4740
4v4,Jacob et al.,37,3,1,1,245,-13.1918
