tick,b0_x,b0_y,b1_x,b1_y,r0_x,r0_y,r1_x,r1_y,a0_macro,a0_tgt,a1_macro,a1_tgt,blue_score,red_score
45,11.155627250671387,11.090189933776855,11.923864364624023,10.845726013183594,14.385047912597656,11.695662498474121,13.256028175354004,11.330582618713379,0,45,0,45,0,0
46,10.07426643371582,10.96142864227295,12.008516311645508,9.760021209716797,13.403986930847168,11.356865882873535,12.564693450927734,11.078962326049805,0,45,0,45,0,0
47,8.992905616760254,10.832667350769043,10.940496444702148,9.54729175567627,13.184211730957031,10.763587951660156,11.812857627868652,10.206230163574219,0,45,0,45,0,0
48,7.9115447998046875,10.703906059265137,9.852890014648438,9.602363586425781,12.271744728088379,10.268948554992676,11.360139846801758,9.864270210266113,0,45,0,45,0,0
49,6.830183982849121,10.575145721435547,8.765283584594727,9.657434463500977,12.58820915222168,9.280457496643066,11.18719482421875,8.840867042541504,0,45,0,45,0,0
50,5.748823165893555,10.44638442993164,7.677677154541016,9.712506294250488,13.625659942626953,9.311447143554688,12.160635948181152,8.480759620666504,0,45,0,14,0,0
51,4.667462348937988,10.317623138427734,6.590070724487305,9.767578125,14.661518096923828,9.376728057861328,13.181697845458984,8.66702938079834,0,45,0,45,0,0
52,3.5861012935638428,10.188862800598145,5.502464294433594,9.822649955749512,15.693604469299316,9.486550331115723,14.196918487548828,8.882879257202148,0,45,0,45,0,0
53,3.5857949256896973,9.099863052368164,4.414857864379883,9.877721786499023,16.717262268066406,9.657977104187012,15.203489303588867,9.136016845703125,0,45,0,45,0,0
54,4.667083263397217,8.970494270324707,3.327251434326172,9.932793617248535,17.588388442993164,9.89122486114502,16.196449279785156,9.438167572021484,0,45,0,45,0,0
55,5.749484539031982,9.090195655822754,3.253035068511963,11.019261360168457,17.995553970336914,10.089746475219727,17.165409088134766,9.810165405273438,0,45,0,45,0,0
56,6.831885814666748,9.2098970413208,4.323050022125244,11.221719741821289,18.64313507080078,10.42910385131836,17.29610252380371,9.975443840026855,0,45,0,45,0,0
57,7.914287090301514,9.329598426818848,5.410930156707764,11.172342300415039,18.64860725402832,10.641072273254395,17.800758361816406,10.295554161071777,0,45,0,45,0,0
58,8.996688842773438,9.449299812316895,6.498810291290283,11.122964859008789,18.91407012939453,11.087163925170898,17.576107025146484,10.264177322387695,0,45,0,45,0,0
59,10.079090118408203,9.569001197814941,7.586690425872803,11.073587417602539,18.476150512695312,11.13624382019043,17.843521118164062,10.582121849060059,0,45,0,45,0,0
60,11.161491394042969,9.688702583312988,8.674570083618164,11.024209976196289,17.349868774414062,10.512356758117676,18.01577377319336,11.939903259277344,0,45,0,45,0,0
61,12.243892669677734,9.808403968811035,9.762450218200684,10.974832534790039,16.321027755737305,10.375421524047852,17.03063201904297,12.266642570495605,0,45,0,45,0,0
62,13.3262939453125,9.928105354309082,10.850330352783203,10.925455093383789,15.293008804321289,10.232452392578125,16.10735321044922,11.792490005493164,0,45,0,45,0,0
