pole,genome_id,episode_seed,blue_style,blue_score,red_score,win,draw,steps,t_intent,t_commit,zero_zero,total_score
B_OP7,SDS_PARENT_OP7,5000020,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,93,8,1,0
B_OP7,SDS_PARENT_OP7,5000021,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000021,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,81,10,1,0
B_OP7,SDS_PARENT_OP7,5000022,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,48,,1,0
B_OP7,SDS_PARENT_OP7,5000022,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,99,1,0
B_OP7,SDS_PARENT_OP7,5000023,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,105,,1,0
B_OP7,SDS_PARENT_OP7,5000023,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,9,10,1,0
B_OP7,SDS_PARENT_OP7,5000024,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000024,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,167,8,1,0
B_OP7,SDS_PARENT_OP7,5000025,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000025,BLUE_BOTH_ATTACK_V2,2,0,1,0,240,116,76,0,2
B_OP7,SDS_PARENT_OP7,5000026,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000026,BLUE_BOTH_ATTACK_V2,2,0,1,0,240,,10,0,2
B_OP7,SDS_PARENT_OP7,5000027,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000027,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,76,10,1,0
B_OP7,SDS_PARENT_OP7,5000028,BLUE_ONE_DEFENDER_V2,0,1,0,0,240,,,0,1
B_OP7,SDS_PARENT_OP7,5000028,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,11,20,0,1
B_OP7,SDS_PARENT_OP7,5000029,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000029,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,7,1,0
B_OP7,SDS_PARENT_OP7,5000030,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000030,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,9,1,0
B_OP7,SDS_PARENT_OP7,5000031,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000031,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,22,1,0
B_OP7,SDS_PARENT_OP7,5000032,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
B_OP7,SDS_PARENT_OP7,5000032,BLUE_BOTH_ATTACK_V2,2,0,1,0,240,,6,0,2
