pole,genome_id,episode_seed,blue_style,blue_score,red_score,win,draw,steps,t_intent,t_commit,zero_zero,total_score
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000083,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,14,24,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000084,BLUE_ONE_DEFENDER_V2,2,2,0,1,240,,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000084,BLUE_BOTH_ATTACK_V2,1,2,0,0,240,64,10,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000085,BLUE_ONE_DEFENDER_V2,2,0,1,0,240,103,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000085,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,10,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000086,BLUE_ONE_DEFENDER_V2,2,0,1,0,240,13,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000086,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,13,48,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000087,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000087,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,8,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000088,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000088,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,25,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000089,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000089,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,71,53,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000090,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,76,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000090,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,95,67,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000091,BLUE_ONE_DEFENDER_V2,1,2,0,0,240,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000091,BLUE_BOTH_ATTACK_V2,0,1,0,0,240,,47,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000092,BLUE_ONE_DEFENDER_V2,3,2,1,0,217,13,,0,5
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000092,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,10,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000093,BLUE_ONE_DEFENDER_V2,2,2,0,1,240,201,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000093,BLUE_BOTH_ATTACK_V2,0,1,0,0,240,105,50,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000094,BLUE_ONE_DEFENDER_V2,3,2,1,0,203,,,0,5
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000094,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,25,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000095,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,233,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000095,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,23,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000096,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000096,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,94,76,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000097,BLUE_ONE_DEFENDER_V2,1,1,0,1,240,,,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000097,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,35,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000098,BLUE_ONE_DEFENDER_V2,2,2,0,1,240,12,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000098,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,46,1,0
