policy_seed,opponent,eval_seed,episode_key,kind,failure_label,outcome_step,band,band_start_off,band_end_off,window_start,window_end,window_len,opp_has_carrier,score_stratum,none_forward_frac,mate_can_intervene,intervention_margin,carrier_pressure
3200001,OP6,9800019,OP6:9800019,failure,tagged_while_carrying,30,latest,-10,0,20,30,10,True,tied,0.3,0.0,nan,0.12131623923778534
3200001,OP6,9800021,OP6:9800021,failure,tagged_while_carrying,80,earliest,-30,-20,50,60,10,True,tied,0.1,0.0,nan,0.18056991025805474
3200001,OP6,9800021,OP6:9800021,failure,tagged_while_carrying,80,middle,-20,-10,60,70,10,True,leading,1.0,0.0,nan,0.3218095302581787
3200001,OP6,9800021,OP6:9800021,failure,tagged_while_carrying,80,latest,-10,0,70,80,10,True,leading,0.4,0.0,nan,0.2859099507331848
3200001,OP6,9800021,OP6:9800021,failure,tagged_while_carrying,91,earliest,-30,-20,61,71,10,True,leading,1.0,0.0,nan,0.33563443024953205
3200001,OP6,9800021,OP6:9800021,failure,tagged_while_carrying,91,middle,-20,-10,71,81,10,True,leading,0.3,0.0,nan,0.2539277821779251
3200001,OP6,9800021,OP6:9800021,failure,tagged_while_carrying,91,latest,-10,0,81,91,10,True,tied,0.0,0.0,nan,0.06346207112073898
3200001,OP6,9800022,OP6:9800022,failure,tagged_while_carrying,17,middle,-20,-10,0,7,7,False,tied,1.0,nan,nan,nan
3200001,OP6,9800022,OP6:9800022,failure,tagged_while_carrying,17,latest,-10,0,7,17,10,False,tied,0.4,nan,nan,nan
3200001,OP6,9800022,OP6:9800022,failure,tagged_while_carrying,65,earliest,-30,-20,35,45,10,False,tied,0.4,nan,nan,nan
3200001,OP6,9800022,OP6:9800022,failure,tagged_while_carrying,65,middle,-20,-10,45,55,10,True,tied,0.0,0.0,nan,0.4422166898846626
3200001,OP6,9800022,OP6:9800022,failure,tagged_while_carrying,65,latest,-10,0,55,65,10,True,leading,0.0,0.0,nan,0.18965179473161697
3200001,OP6,9800022,OP6:9800022,failure,tagged_while_carrying,65,earliest,-30,-20,35,45,10,False,tied,0.4,nan,nan,nan
3200001,OP6,9800022,OP6:9800022,failure,tagged_while_carrying,65,middle,-20,-10,45,55,10,True,tied,0.0,0.0,nan,0.4422166898846626
3200001,OP6,9800022,OP6:9800022,failure,tagged_while_carrying,65,latest,-10,0,55,65,10,True,leading,0.0,0.0,nan,0.18965179473161697
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,25,earliest,-30,-20,0,5,5,False,tied,1.0,nan,nan,nan
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,25,middle,-20,-10,5,15,10,False,tied,0.2,nan,nan,nan
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,25,latest,-10,0,15,25,10,True,tied,0.0,0.0,nan,0.2812918871641159
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,105,earliest,-30,-20,75,85,10,False,tied,0.0,nan,nan,nan
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,105,middle,-20,-10,85,95,10,False,tied,0.3,nan,nan,nan
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,105,latest,-10,0,95,105,10,False,tied,0.4,nan,nan,nan
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,110,earliest,-30,-20,80,90,10,False,tied,0.0,nan,nan,nan
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,110,middle,-20,-10,90,100,10,False,tied,0.7,nan,nan,nan
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,110,latest,-10,0,100,110,10,True,tied,0.0,0.0,nan,0.043395306915044785
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,166,earliest,-30,-20,136,146,10,False,tied,0.0,nan,nan,nan
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,166,middle,-20,-10,146,156,10,False,tied,0.5,nan,nan,nan
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,166,latest,-10,0,156,166,10,True,tied,0.0,0.0,nan,0.09308142960071564
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,237,earliest,-30,-20,207,217,10,False,tied,0.0,nan,nan,nan
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,237,middle,-20,-10,217,227,10,False,tied,0.3,nan,nan,nan
3200001,OP6,9800023,OP6:9800023,failure,tagged_while_carrying,237,latest,-10,0,227,237,10,True,tied,0.3,0.0,nan,0.08839691430330276
3200001,OP6,9800025,OP6:9800025,failure,tagged_while_carrying,97,earliest,-30,-20,67,77,10,False,tied,0.2,nan,nan,nan
3200001,OP6,9800025,OP6:9800025,failure,tagged_while_carrying,97,middle,-20,-10,77,87,10,False,tied,0.9,nan,nan,nan
3200001,OP6,9800025,OP6:9800025,failure,tagged_while_carrying,97,latest,-10,0,87,97,10,True,tied,0.2,0.0,nan,0.07572147995233536
3200001,OP6,9800027,OP6:9800027,failure,tagged_while_carrying,45,earliest,-30,-20,15,25,10,True,tied,0.2,0.0,nan,0.1613223623484373
3200001,OP6,9800027,OP6:9800027,failure,tagged_while_carrying,45,middle,-20,-10,25,35,10,True,leading,0.8,0.0,nan,0.320107638835907
3200001,OP6,9800027,OP6:9800027,failure,tagged_while_carrying,45,latest,-10,0,35,45,10,True,leading,0.0,0.0,nan,0.2645441144704819
3200001,OP6,9800027,OP6:9800027,control,none,90,earliest,-30,-20,60,70,10,True,tied,0.3,0.0,nan,0.07885566726326942
3200001,OP6,9800027,OP6:9800027,control,none,90,middle,-20,-10,70,80,10,True,tied,0.3,0.0,nan,0.19634919613599777
3200001,OP6,9800027,OP6:9800027,control,none,90,latest,-10,0,80,90,10,True,leading,1.0,0.0,nan,0.26193172484636307
3200001,OP6,9800027,OP6:9800027,control,none,120,earliest,-30,-20,90,100,10,False,leading,0.2,nan,nan,nan
3200001,OP6,9800027,OP6:9800027,control,none,120,middle,-20,-10,100,110,10,False,leading,0.2,nan,nan,nan
3200001,OP6,9800027,OP6:9800027,control,none,120,latest,-10,0,110,120,10,True,leading,0.1,0.0,nan,0.28435561135411264
3200001,OP6,9800028,OP6:9800028,failure,tagged_while_carrying,16,middle,-20,-10,0,6,6,False,tied,1.0,nan,nan,nan
3200001,OP6,9800028,OP6:9800028,failure,tagged_while_carrying,16,latest,-10,0,6,16,10,True,tied,0.2,0.0,nan,0.0718436911702156
3200001,OP6,9800028,OP6:9800028,failure,tagged_while_carrying,92,earliest,-30,-20,62,72,10,True,tied,0.0,0.0,nan,0.23251134902238846
3200001,OP6,9800028,OP6:9800028,failure,tagged_while_carrying,92,middle,-20,-10,72,82,10,True,tied,0.8,0.0,nan,0.35579653084278107
3200001,OP6,9800028,OP6:9800028,failure,tagged_while_carrying,92,latest,-10,0,82,92,10,True,tied,0.4,0.0,nan,0.06722337752580643
3200001,OP6,9800030,OP6:9800030,failure,tagged_while_carrying,15,middle,-20,-10,0,5,5,False,tied,1.0,nan,nan,nan
3200001,OP6,9800030,OP6:9800030,failure,tagged_while_carrying,15,latest,-10,0,5,15,10,False,tied,0.2,nan,nan,nan
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,14,middle,-20,-10,0,4,4,False,tied,1.0,nan,nan,nan
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,14,latest,-10,0,4,14,10,True,tied,0.4,0.0,nan,0.09554275125265121
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,15,middle,-20,-10,0,5,5,False,tied,1.0,nan,nan,nan
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,15,latest,-10,0,5,15,10,True,tied,0.3,0.0,nan,0.08724455535411835
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,81,earliest,-30,-20,51,61,10,False,tied,0.2,nan,nan,nan
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,81,middle,-20,-10,61,71,10,False,tied,0.8,nan,nan,nan
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,81,latest,-10,0,71,81,10,False,tied,0.5,nan,nan,nan
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,127,earliest,-30,-20,97,107,10,False,tied,0.0,nan,nan,nan
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,127,middle,-20,-10,107,117,10,False,tied,0.8,nan,nan,nan
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,127,latest,-10,0,117,127,10,True,tied,0.3,0.0,nan,0.08686172589659691
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,237,earliest,-30,-20,207,217,10,False,leading,0.1,nan,nan,nan
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,237,middle,-20,-10,217,227,10,False,leading,0.5,nan,nan,nan
3200001,OP7,9800001,OP7:9800001,failure,tagged_while_carrying,237,latest,-10,0,227,237,10,True,leading,0.1,0.0,nan,0.10194442421197891
3200001,OP7,9800001,OP7:9800001,control,none,180,earliest,-30,-20,150,160,10,False,leading,0.2,nan,nan,nan
3200001,OP7,9800001,OP7:9800001,control,none,180,middle,-20,-10,160,170,10,False,leading,1.0,nan,nan,nan
3200001,OP7,9800001,OP7:9800001,control,none,180,latest,-10,0,170,180,10,False,leading,0.1,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,failure,tagged_while_carrying,16,middle,-20,-10,0,6,6,False,tied,1.0,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,failure,tagged_while_carrying,16,latest,-10,0,6,16,10,False,tied,0.4,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,failure,tagged_while_carrying,82,earliest,-30,-20,52,62,10,False,tied,0.2,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,failure,tagged_while_carrying,82,middle,-20,-10,62,72,10,False,tied,0.7,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,failure,tagged_while_carrying,82,latest,-10,0,72,82,10,False,tied,0.5,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,failure,tagged_while_carrying,202,earliest,-30,-20,172,182,10,False,tied,0.0,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,failure,tagged_while_carrying,202,middle,-20,-10,182,192,10,False,tied,0.6,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,failure,tagged_while_carrying,202,latest,-10,0,192,202,10,False,tied,0.1,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,control,none,120,earliest,-30,-20,90,100,10,False,tied,0.7,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,control,none,120,middle,-20,-10,100,110,10,False,tied,0.1,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,control,none,120,latest,-10,0,110,120,10,False,tied,1.0,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,control,none,150,earliest,-30,-20,120,130,10,False,tied,0.2,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,control,none,150,middle,-20,-10,130,140,10,False,tied,0.8,nan,nan,nan
3200001,OP7,9800002,OP7:9800002,control,none,150,latest,-10,0,140,150,10,False,tied,0.1,nan,nan,nan
3200001,OP7,9800003,OP7:9800003,failure,tagged_while_carrying,29,earliest,-30,-20,0,9,9,False,tied,1.0,nan,nan,nan
3200001,OP7,9800003,OP7:9800003,failure,tagged_while_carrying,29,middle,-20,-10,9,19,10,False,tied,0.4,nan,nan,nan
3200001,OP7,9800003,OP7:9800003,failure,tagged_while_carrying,29,latest,-10,0,19,29,10,True,tied,0.0,0.0,nan,0.10379426181316376
