policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,blocked_movement_events,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,neutral_lane_use,route_switches,movement_attempts,successful_movement_steps,collision_metric_source,stuck_metric_source,route_metric_source,wall_collision_source,stuck_source,route_source,obstacle_collisions_per_1000_steps,blocked_movements_per_1000_movement_attempts,stuck_steps_per_1000_steps,successful_movement_rate,upper_lane_fraction,lower_lane_fraction,route_switches_per_episode,episode_steps
baseline,map_a_open,OP8,OP8,OP8,7008,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,184.0,184.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,92
candidate,map_a_open,OP8,OP8,OP8,7008,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,442.0,442.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,221
baseline,map_a_open,OP8,OP8,OP8,7009,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,142.0,142.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,71
candidate,map_a_open,OP8,OP8,OP8,7009,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,202.0,202.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,101
baseline,map_a_open,OP8,OP8,OP8,7010,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,258.0,258.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,129
candidate,map_a_open,OP8,OP8,OP8,7010,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,266.0,266.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,133
baseline,map_a_open,OP8,OP8,OP8,7011,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,124.0,124.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,62
candidate,map_a_open,OP8,OP8,OP8,7011,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,126.0,126.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,63
baseline,map_a_open,OP8,OP8,OP8,7012,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,270.0,270.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,135
candidate,map_a_open,OP8,OP8,OP8,7012,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,,,,,166.0,166.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,83
baseline,map_a_open,OP8,OP8,OP8,7013,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,146.0,146.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,73
candidate,map_a_open,OP8,OP8,OP8,7013,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,140.0,140.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,70
baseline,map_a_open,OP8,OP8,OP8,7014,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,220.0,220.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,110
candidate,map_a_open,OP8,OP8,OP8,7014,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,162.0,162.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,81
baseline,map_a_open,OP8,OP8,OP8,7015,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,154.0,154.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,77
candidate,map_a_open,OP8,OP8,OP8,7015,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,314.0,314.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,157
