episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score
134,1,26.334,156.618,177,16,0,4.48883,2.67088,0.125,OP1,scripted,OP1,3,0
135,1,42.966,167.013,168,15,0,5.39763,3.66705,0.358333,OP1,scripted,OP1,3,0
136,1,108.801,300.069,412,26,0,5.02882,3.10365,0.283333,OP1,scripted,OP1,2,0
137,1,124.047,279.972,45,313,0,5.01183,3.11607,0.216667,OP1,scripted,OP1,3,0
138,1,29.106,300.069,427,51,0,4.42135,2.69855,0.116667,OP1,scripted,OP1,1,0
139,1,24.948,300.069,432,28,0,5.64035,3.18008,0.358333,OP1,scripted,OP1,1,0
140,1,109.494,229.383,293,22,0,6.3174,3.09378,0.241667,OP1,scripted,OP1,3,0
141,1,63.756,186.417,30,202,0,3.95914,2.37144,0.225,OP1,scripted,OP1,3,0
142,1,49.896,273.042,356,26,0,6.0647,2.7763,0.258333,OP1,scripted,OP1,3,0
143,1,36.036,200.277,230,17,0,4.81962,2.80244,0.2,OP1,scripted,OP1,3,0
144,1,75.537,259.875,324,43,0,4.48612,2.83564,0.0916667,OP1,scripted,OP1,3,0
145,1,31.185,97.02,73,8,0,4.92603,2.75013,0.158333,OP1,scripted,OP1,3,0
146,1,162.855,300.069,416,9,0,6.43788,3.29916,0.366667,OP1,scripted,OP1,1,0
147,1,52.668,191.961,243,27,0,5.86789,3.56154,0.3,OP1,scripted,OP1,3,0
148,1,59.598,133.749,139,13,0,4.80527,2.50767,0.108333,OP1,scripted,OP1,3,0
149,1,284.13,300.069,426,27,0,5.77853,2.84697,0.25,OP1,scripted,OP1,1,0
150,1,31.185,300.069,389,40,0,4.81712,2.69075,0.191667,OP1,scripted,OP1,2,0
151,1,94.248,267.498,337,32,0,4.62173,3.00825,0.25,OP1,scripted,OP1,3,0
152,1,24.948,137.214,143,20,0,4.82117,2.79749,0.216667,OP1,scripted,OP1,3,0
153,1,118.503,200.277,170,86,0,5.06068,2.82519,0.133333,OP1,scripted,OP1,3,0
154,1,26.334,110.88,115,13,0,5.20348,2.82977,0.25,OP1,scripted,OP1,3,0
155,1,33.264,300.069,402,20,0,5.6857,3.20296,0.316667,OP1,scripted,OP1,2,0
156,1,213.444,300.069,427,20,0,5.32641,3.0518,0.25,OP1,scripted,OP1,1,0
157,1,49.896,110.187,107,14,0,4.45074,2.69603,0.166667,OP1,scripted,OP1,3,0
158,1,25.641,218.295,255,28,0,4.05497,2.62988,0.125,OP1,scripted,OP1,3,0
159,1,30.492,300.069,404,28,0,4.6534,2.72469,0.216667,OP1,scripted,OP1,2,0
160,1,207.207,300.069,427,35,0,5.7384,3.18897,0.208333,OP1,scripted,OP1,1,0
161,1,104.643,257.103,309,26,0,5.03437,2.92308,0.2,OP1,scripted,OP1,3,0
162,1,160.083,246.708,300,23,0,5.94242,3.2097,0.283333,OP1,scripted,OP1,3,0
163,1,20.79,218.988,284,22,0,4.79683,3.26521,0.225,OP1,scripted,OP1,3,0
164,1,20.79,211.365,283,21,0,5.15915,2.93158,0.15,OP1,scripted,OP1,3,0
165,1,30.492,128.205,137,23,0,5.24136,3.707,0.2,OP1,scripted,OP1,3,0
166,1,28.413,149.688,160,20,0,5.29104,3.27276,0.166667,OP1,scripted,OP1,3,0
167,1,18.711,300.069,403,17,0,5.05595,2.44119,0.233333,OP1,scripted,OP1,2,0
168,1,164.241,216.216,261,27,0,5.19734,2.79749,0.191667,OP1,scripted,OP1,3,0
169,1,155.925,288.981,193,175,0,5.22401,2.84759,0.208333,OP1,scripted,OP1,3,0
170,0,,300.069,432,26,0,5.46083,2.76616,0.2,OP1,scripted,OP1,0,0
171,1,22.176,113.652,110,16,0,5.55513,3.31797,0.2,OP1,scripted,OP1,3,0
172,1,65.835,221.067,288,46,0,4.26752,2.90139,0.15,OP1,scripted,OP1,3,0
173,1,148.995,262.647,340,29,0,5.22226,3.09853,0.291667,OP1,scripted,OP1,3,0
174,1,72.072,131.67,64,60,0,6.12114,3.23575,0.183333,OP1,scripted,OP1,3,0
175,1,100.485,279.972,365,31,0,4.61366,2.79917,0.125,OP1,scripted,OP1,3,0
176,1,29.799,148.302,168,16,0,4.09021,2.716,0.158333,OP1,scripted,OP1,3,0
177,1,73.458,272.349,343,18,0,5.88896,3.05028,0.175,OP1,scripted,OP1,3,0
178,1,60.984,279.972,364,47,0,5.73197,3.24151,0.2,OP1,scripted,OP1,3,0
179,1,31.878,110.187,82,11,0,4.37964,2.31186,0.133333,OP1,scripted,OP1,3,0
180,1,23.562,300.069,433,27,0,4.58544,2.61498,0.15,OP1,scripted,OP1,2,0
181,1,152.46,225.225,264,22,0,5.70614,3.09619,0.2,OP1,scripted,OP1,3,0
182,1,157.311,271.656,336,26,0,5.42056,3.21557,0.291667,OP1,scripted,OP1,3,0
183,1,134.442,300.069,408,28,0,5.62817,3.17489,0.35,OP1,scripted,OP1,2,0
184,1,22.176,99.099,107,11,0,5.12033,3.21133,0.125,OP1,scripted,OP1,3,0
185,1,23.562,74.844,15,57,0,4.0528,2.72122,0.216667,OP1,scripted,OP1,3,0
186,1,67.914,222.453,261,28,0,4.57503,2.64664,0.15,OP1,scripted,OP1,3,0
187,1,106.029,191.268,239,25,0,4.8167,3.03328,0.158333,OP1,scripted,OP1,3,0
188,1,56.133,137.214,151,34,0,3.3756,2.44344,0.133333,OP1,scripted,OP1,3,0
189,1,45.045,161.469,183,15,0,4.66203,2.77577,0.1,OP1,scripted,OP1,3,0
190,1,24.255,91.476,77,17,0,6.33218,3.49594,0.216667,OP1,scripted,OP1,3,0
191,1,90.09,261.954,335,14,0,5.61004,2.90966,0.166667,OP1,scripted,OP1,3,0
192,1,24.255,101.178,97,16,0,4.56412,3.15944,0.183333,OP1,scripted,OP1,3,0
193,1,53.361,178.794,227,14,0,5.15333,3.23241,0.233333,OP1,scripted,OP1,3,0
194,1,37.422,109.494,79,45,0,3.85479,2.26042,0.166667,OP1,scripted,OP1,3,0
195,1,22.869,151.074,169,36,0,5.08604,3.08944,0.225,OP1,scripted,OP1,3,0
196,1,33.264,225.225,258,28,0,4.74019,3.08871,0.241667,OP1,scripted,OP1,3,0
197,1,177.408,300.069,413,29,0,4.7344,2.79587,0.216667,OP1,scripted,OP1,2,0
198,1,26.334,79.695,46,10,0,4.41556,2.52115,0.1,OP1,scripted,OP1,3,0
199,1,104.643,157.311,164,13,0,6.08872,2.91385,0.258333,OP1,scripted,OP1,3,0
200,1,246.708,300.069,410,37,0,4.8705,3.01165,0.216667,OP1,scripted,OP1,2,0
201,1,22.176,115.038,128,13,0,5.3552,2.98142,0.141667,OP2,scripted,OP1,3,0
202,1,25.641,131.67,158,28,0,4.83731,2.67958,0.216667,OP2,scripted,OP1,3,0
203,1,16.632,46.431,38,11,0,4.76845,3.6179,0.191667,OP2,scripted,OP2,3,0
204,1,30.492,84.546,62,20,0,6.79071,3.80228,0.191667,OP2,scripted,OP2,3,0
205,1,30.492,54.054,30,12,0,6.77197,3.93054,0.166667,OP2,scripted,OP2,3,0
206,1,18.018,118.503,156,23,0,5.56549,3.38635,0.208333,OP2,scripted,OP1,3,0
207,1,31.878,56.826,32,12,0,6.16562,3.67158,0.166667,OP2,scripted,OP2,3,0
208,1,18.018,62.37,32,22,0,4.41616,2.62038,0.191667,OP2,scripted,OP2,3,0
209,1,22.869,79.695,50,25,0,5.94698,3.82528,0.233333,OP2,scripted,OP2,3,0
210,1,33.264,242.55,321,33,0,5.78537,3.21963,0.275,OP2,scripted,OP1,3,0
211,1,20.79,54.054,37,21,0,6.30775,4.08528,0.183333,OP2,scripted,OP2,3,0
212,1,21.483,49.203,32,13,0,7.19285,3.98495,0.158333,OP2,scripted,OP2,3,0
213,1,28.413,76.23,46,15,0,6.86232,3.97578,0.2,OP2,scripted,OP2,3,0
214,1,45.738,77.616,51,21,0,5.56397,3.14713,0.233333,OP2,scripted,OP2,3,0
215,1,42.273,79.695,42,28,0,5.38793,3.58588,0.175,OP2,scripted,OP2,3,0
216,1,38.115,102.564,51,19,0,5.79757,3.58548,0.25,OP2,scripted,OP2,3,0
217,1,12.474,71.379,30,23,0,6.17881,3.23825,0.116667,OP2,scripted,OP2,3,0
218,1,18.018,72.765,52,26,0,5.20442,3.31788,0.141667,OP2,scripted,OP2,3,0
219,1,19.404,42.966,36,10,0,5.83475,3.38917,0.125,OP2,scripted,OP2,3,0
