episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count
139,1,31.185,184.338,208,18,0,4.2061,2.39189,0.166667,OP1,scripted,OP1,3,0,0
140,1,40.194,171.171,178,20,0,5.8261,3.11322,0.141667,OP1,scripted,OP1,3,0,0
141,1,34.65,252.252,288,26,0,5.34107,3.38855,0.166667,OP1,scripted,OP1,3,0,0
142,1,119.889,300.069,406,26,0,5.47288,2.98066,0.325,OP1,scripted,OP1,2,0,0
143,1,22.869,209.979,260,21,0,5.47485,2.92076,0.166667,OP1,scripted,OP1,3,0,0
144,0,,300.069,429,24,0,5.11713,3.15042,0.416667,OP1,scripted,OP1,0,0,0
145,1,45.738,300.069,367,29,0,5.22527,2.83974,0.3,OP1,scripted,OP1,2,0,0
146,1,31.878,300.069,394,35,0,4.7081,2.99342,0.325,OP1,scripted,OP1,2,0,0
147,1,51.975,162.855,42,160,0,3.72766,2.6407,0.141667,OP1,scripted,OP1,3,0,0
148,1,24.948,300.069,398,24,0,5.2148,3.09356,0.308333,OP1,scripted,OP1,2,0,0
149,1,29.799,185.031,211,14,0,5.59632,2.65412,0.175,OP1,scripted,OP1,3,0,0
150,1,30.492,177.408,162,58,0,5.45717,2.70215,0.15,OP1,scripted,OP1,3,0,0
151,1,77.616,300.069,409,40,0,5.32445,3.45372,0.3,OP1,scripted,OP1,1,0,0
152,1,33.957,142.758,144,14,0,4.86522,2.79149,0.166667,OP1,scripted,OP1,3,0,0
153,1,45.045,300.069,402,32,0,4.72934,2.70217,0.216667,OP1,scripted,OP1,2,0,0
154,1,22.869,176.715,224,23,0,4.47906,2.96801,0.158333,OP1,scripted,OP1,3,0,0
155,1,28.413,252.945,319,31,0,4.56726,2.95239,0.166667,OP1,scripted,OP1,3,0,0
156,1,24.948,300.069,425,19,0,5.8789,2.96319,0.175,OP1,scripted,OP1,2,0,0
157,1,29.106,124.74,14,119,0,4.77705,3.01215,0.2,OP1,scripted,OP1,3,0,0
158,1,27.72,80.388,48,14,0,3.48502,2.09467,0.141667,OP1,scripted,OP1,3,0,0
159,1,29.799,113.652,106,19,0,4.54659,2.76043,0.166667,OP1,scripted,OP1,3,0,0
160,1,29.799,159.39,155,19,0,4.94077,3.01662,0.158333,OP1,scripted,OP1,3,0,0
161,1,30.492,165.627,31,169,0,5.70769,2.70522,0.108333,OP1,scripted,OP1,3,0,0
162,1,61.677,112.266,121,10,0,6.21658,3.97282,0.166667,OP1,scripted,OP1,3,0,0
163,1,22.176,144.837,171,11,0,5.11214,3.01962,0.116667,OP1,scripted,OP1,3,0,0
164,1,22.869,170.478,215,16,0,4.55381,2.80865,0.15,OP1,scripted,OP1,3,0,0
165,1,27.72,157.311,166,18,0,5.54456,3.35698,0.25,OP1,scripted,OP1,3,0,0
166,1,237.006,300.069,419,40,0,4.51273,2.96566,0.266667,OP1,scripted,OP1,1,0,0
167,1,61.677,156.618,65,126,0,4.67546,3.01921,0.183333,OP1,scripted,OP1,3,0,0
168,1,27.72,167.706,197,24,0,4.74527,2.80963,0.158333,OP1,scripted,OP1,3,0,0
169,1,29.799,106.029,12,95,0,4.98324,3.13832,0.133333,OP1,scripted,OP1,3,0,0
170,1,49.203,156.618,177,32,0,4.55472,2.87423,0.233333,OP1,scripted,OP1,3,0,0
171,1,29.799,300.069,424,39,0,4.24357,2.9185,0.158333,OP1,scripted,OP1,1,0,0
172,1,118.503,300.069,400,24,0,5.0315,2.96357,0.358333,OP1,scripted,OP1,1,0,0
173,1,45.045,160.083,38,146,0,4.74936,2.46775,0.183333,OP1,scripted,OP1,3,0,0
174,1,32.571,196.119,236,19,0,4.93561,3.13868,0.233333,OP1,scripted,OP1,3,0,0
175,1,27.72,145.53,151,31,0,3.76508,2.42346,0.216667,OP1,scripted,OP1,3,0,0
176,1,27.72,133.056,138,12,0,4.07668,2.33205,0.208333,OP1,scripted,OP1,3,0,0
177,1,29.799,300.069,399,31,0,5.35201,2.74208,0.15,OP1,scripted,OP1,2,0,0
178,1,37.422,119.889,102,16,0,3.29553,2.06102,0.125,OP1,scripted,OP1,3,0,0
179,1,29.106,94.941,76,14,0,5.23443,2.97059,0.158333,OP1,scripted,OP1,3,0,0
180,1,26.334,137.214,131,18,0,4.8125,2.52278,0.191667,OP1,scripted,OP1,3,0,0
181,1,20.79,60.291,19,25,0,4.33247,2.98382,0.125,OP1,scripted,OP1,3,0,0
182,1,120.582,255.024,182,198,0,4.6787,3.30173,0.35,OP1,scripted,OP1,3,0,0
183,1,29.799,121.968,125,17,0,4.84009,3.19439,0.166667,OP1,scripted,OP1,3,0,0
184,1,37.422,108.801,87,19,0,3.24057,1.99165,0.141667,OP1,scripted,OP1,3,0,0
185,1,28.413,167.706,190,14,0,5.08311,2.69301,0.108333,OP1,scripted,OP1,3,0,0
186,1,38.808,300.069,389,31,0,4.67884,2.71918,0.183333,OP1,scripted,OP1,2,0,0
187,1,76.923,159.39,184,13,0,5.8071,3.03142,0.166667,OP1,scripted,OP1,3,0,0
188,1,177.408,300.069,408,28,0,6.39623,3.3441,0.125,OP1,scripted,OP1,1,0,0
189,1,24.255,205.128,261,33,0,4.95692,3.0807,0.166667,OP1,scripted,OP1,3,0,0
190,1,32.571,199.584,250,29,0,5.06437,2.83599,0.175,OP1,scripted,OP1,3,0,0
191,1,29.799,300.069,409,21,0,7.13613,3.76027,0.458333,OP1,scripted,OP1,2,0,0
192,1,47.817,300.069,405,32,0,4.79084,2.80792,0.175,OP1,scripted,OP1,2,0,0
193,1,23.562,82.467,67,8,0,5.5413,2.99557,0.15,OP1,scripted,OP1,3,0,0
194,1,24.255,283.437,352,33,0,5.55642,3.04024,0.216667,OP1,scripted,OP1,3,0,0
195,1,41.58,130.284,125,10,0,5.052,2.75469,0.141667,OP1,scripted,OP1,3,0,0
196,1,85.932,281.358,366,31,0,4.6252,3.14494,0.25,OP1,scripted,OP1,3,0,0
197,1,25.641,175.329,209,25,0,4.63224,2.87212,0.216667,OP1,scripted,OP1,3,0,0
198,1,27.027,117.81,126,12,0,3.72821,2.29574,0.183333,OP1,scripted,OP1,3,0,0
199,1,18.711,99.099,107,8,0,5.73285,2.81653,0.158333,OP1,scripted,OP1,3,0,0
200,1,51.975,227.304,46,266,0,4.38315,2.51582,0.2,OP1,scripted,OP1,3,0,0
201,1,54.747,135.828,37,137,0,6.03144,3.47065,0.191667,OP2,scripted,OP1,3,0,0
202,1,34.65,300.069,386,30,0,5.78784,3.14023,0.233333,OP2,scripted,OP1,2,0,0
203,1,14.553,48.51,25,15,0,6.17288,3.71191,0.183333,OP2,scripted,OP2,3,0,1
204,1,31.185,56.133,27,12,0,6.21383,4.35321,0.175,OP2,scripted,OP2,3,0,1
205,1,117.81,173.943,223,21,0,5.73458,3.24251,0.366667,OP2,scripted,OP1,3,0,2
206,1,67.914,99.792,107,15,0,5.40823,2.78166,0.241667,OP2,scripted,OP1,3,0,2
207,1,15.246,47.124,36,12,0,4.87602,2.60023,0.141667,OP2,scripted,OP2,3,0,3
