first_capture_step,capture_latency,lost_after_leading,capture_conceded,opponent,eval_seed,blue_score,red_score,score_margin,win,loss,draw,terminated,episode_steps,tags_against,tags_for,cooldown_denials,captures_blue,captures_red,drops,pickups,tagged_while_carrying,ever_carried,carried_without_scoring,carry_steps,carry_frac,carrier_unescorted_frac,carrier_pressure_frac,mean_carrier_pressure,max_agents_forward,both_forward_frac,none_forward_frac,mean_team_separation,mean_formation_spread,blue_tagged_frac,cooldown_active_frac,trailing_frac,leading_frac,conceded_first,train_seed
62,62,0,0,OP12,9400015,3.0,0.0,3.0,1,0,0,True,121,4,5,16,3,0,1,4,1,1,0,46,0.38016528925619836,0.10869565217391304,0.5,0.19378369414935942,2,0.19834710743801653,0.45454545454545453,0.22892100724183823,0.0904162423300349,0.4049586776859504,0.6115702479338843,0.0,0.48760330578512395,0,3200002
31,31,0,1,OP12,9400016,3.0,1.0,2.0,1,0,0,True,105,3,2,2,3,1,0,3,0,1,0,44,0.41904761904761906,0.20454545454545456,0.06818181818181818,0.4675807189196348,2,0.19047619047619047,0.4,0.210546945532163,0.05149317233202358,0.24761904761904763,0.2,0.0,0.38095238095238093,0,3200002
31,31,0,1,OP12,9400017,3.0,1.0,2.0,1,0,0,True,101,3,1,4,3,1,0,3,0,1,0,42,0.4158415841584158,0.2619047619047619,0.07142857142857142,0.4393247894587971,2,0.16831683168316833,0.37623762376237624,0.2525643739886213,0.0707098936562952,0.25742574257425743,0.2079207920792079,0.0,0.3564356435643564,0,3200002
42,42,0,1,OP12,9400018,3.0,1.0,2.0,1,0,0,True,110,4,3,11,3,1,1,4,1,1,0,47,0.42727272727272725,0.574468085106383,0.46808510638297873,0.23159165997454462,2,0.14545454545454545,0.4818181818181818,0.2595332852141424,0.09475331763546406,0.34545454545454546,0.38181818181818183,0.0,0.2909090909090909,0,3200002
26,26,0,1,OP12,9400019,3.0,1.0,2.0,1,0,0,True,75,3,1,2,3,1,0,3,2,1,0,43,0.5733333333333334,0.4186046511627907,0.16279069767441862,0.3558054015386936,2,0.2,0.38666666666666666,0.21668402229746184,0.049146290446903246,0.24,0.28,0.0,0.5466666666666666,0,3200002
36,36,0,1,OP12,9400020,3.0,1.0,2.0,1,0,0,True,91,2,4,7,3,1,2,5,2,1,0,50,0.5494505494505495,0.44,0.28,0.1954450821131468,2,0.2967032967032967,0.3956043956043956,0.24785590311000635,0.0945473681261589,0.1978021978021978,0.7472527472527473,0.0,0.6043956043956044,0,3200002
35,35,0,1,OP12,9400021,3.0,1.0,2.0,1,0,0,True,126,5,4,18,3,1,2,5,2,1,0,46,0.36507936507936506,0.41304347826086957,0.5434782608695652,0.17104564283205115,2,0.1349206349206349,0.4444444444444444,0.2529074188972276,0.09439293057255868,0.40476190476190477,0.5634920634920635,0.0,0.30158730158730157,0,3200002
27,27,0,0,OP12,9400022,3.0,0.0,3.0,1,0,0,True,83,2,4,5,3,0,0,3,2,1,0,44,0.5301204819277109,0.045454545454545456,0.45454545454545453,0.22712854905561966,2,0.37349397590361444,0.46987951807228917,0.13883793775934772,0.06587589345872402,0.26506024096385544,0.7349397590361446,0.0,0.6746987951807228,0,3200002
40,40,0,0,OP12,9400023,3.0,0.0,3.0,1,0,0,True,101,4,3,3,3,0,1,4,1,1,0,45,0.44554455445544555,0.4888888888888889,0.26666666666666666,0.31749956011772157,2,0.16831683168316833,0.44554455445544555,0.2307349446386394,0.07203163072469156,0.2871287128712871,0.43564356435643564,0.0,0.6039603960396039,0,3200002
38,38,0,1,OP12,9400024,3.0,1.0,2.0,1,0,0,True,118,5,3,12,3,1,2,5,2,1,0,49,0.4152542372881356,0.40816326530612246,0.3877551020408163,0.23554408801149349,2,0.2542372881355932,0.4830508474576271,0.20589083489977708,0.06769440050179659,0.3559322033898305,0.5338983050847458,0.0,0.2966101694915254,0,3200002
57,57,0,1,OP12,9400025,3.0,1.0,2.0,1,0,0,True,129,5,6,6,3,1,1,4,1,1,0,45,0.3488372093023256,0.4222222222222222,0.2,0.3475582531756825,2,0.07751937984496124,0.27906976744186046,0.3301253933892694,0.09081257793426517,0.4186046511627907,0.5658914728682171,0.0,0.3875968992248062,0,3200002
42,42,0,1,OP12,9400026,3.0,1.0,2.0,1,0,0,True,100,5,3,19,3,1,0,3,1,1,0,43,0.43,0.32558139534883723,0.6046511627906976,0.19817348734237428,2,0.26,0.57,0.15989760402590036,0.08065522771037649,0.37,0.48,0.0,0.34,0,3200002
28,28,0,1,OP12,9400027,3.0,1.0,2.0,1,0,0,True,135,5,5,12,3,1,3,6,2,1,0,53,0.3925925925925926,0.18867924528301888,0.20754716981132076,0.33548982877214,2,0.3333333333333333,0.4148148148148148,0.17305263932104464,0.050247832787809546,0.3333333333333333,0.48148148148148145,0.0,0.7925925925925926,0,3200002
48,48,0,0,OP12,9400028,3.0,0.0,3.0,1,0,0,True,106,4,4,12,3,0,1,4,1,1,0,44,0.41509433962264153,0.4772727272727273,0.5227272727272727,0.18871668726205826,2,0.1792452830188679,0.44339622641509435,0.20598854212406673,0.055490165241040675,0.4056603773584906,0.6509433962264151,0.0,0.5471698113207547,0,3200002
30,30,0,1,OP12,9400029,3.0,1.0,2.0,1,0,0,True,111,4,3,7,3,1,1,4,1,1,0,46,0.4144144144144144,0.34782608695652173,0.391304347826087,0.33635334702937497,2,0.18018018018018017,0.3963963963963964,0.24390267627733248,0.07119271647487138,0.32432432432432434,0.3963963963963964,0.0,0.42342342342342343,0,3200002
29,29,0,1,OP6,9400000,3.0,2.0,1.0,1,0,0,True,91,2,4,2,3,2,0,3,1,1,0,44,0.4835164835164835,0.11363636363636363,0.4090909090909091,0.2719567875293168,2,0.21978021978021978,0.5274725274725275,0.16568708448455885,0.05911558313336182,0.24175824175824176,0.6703296703296703,0.0,0.054945054945054944,0,3200003
29,29,0,1,OP6,9400001,3.0,2.0,1.0,1,0,0,True,109,3,4,10,3,2,1,4,1,1,0,44,0.4036697247706422,0.45454545454545453,0.36363636363636365,0.25993154934522783,2,0.1651376146788991,0.3302752293577982,0.2369278359884789,0.04809266963061543,0.3119266055045872,0.46788990825688076,0.0,0.44036697247706424,0,3200003
31,31,0,1,OP6,9400002,3.0,2.0,1.0,1,0,0,True,104,4,3,14,3,2,0,3,1,1,0,43,0.41346153846153844,0.27906976744186046,0.5116279069767442,0.2373507382391497,2,0.25961538461538464,0.4326923076923077,0.19392478147235054,0.08586926683514881,0.3269230769230769,0.5673076923076923,0.0,0.18269230769230768,0,3200003
29,29,0,1,OP6,9400003,3.0,2.0,1.0,1,0,0,True,105,5,6,15,3,2,0,3,2,1,0,46,0.4380952380952381,0.10869565217391304,0.5434782608695652,0.2373293037323848,2,0.2571428571428571,0.5333333333333333,0.1470714676060847,0.05856232456377863,0.2571428571428571,0.6571428571428571,0.0,0.0761904761904762,0,3200003
