blue_style,red_style,map,episode_index,episode_seed,step,red_index,defender0_left_radius,defender1_left_radius,red_left_blue_side,defender_left_blue_side,target_switched,defender_became_tagged,red_target_became_tagged,carrier_turn_or_lane_change,other,relative_speed_def0,relative_speed_def1,red_x,red_y,red_carrying,def0_target,def1_target
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,11,761012,142,1,1,1,1,0,0,0,1,0,0,0.24010676557715213,0.7272790049873903,3.6894936561584473,13.543869972229004,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,11,761012,222,0,1,1,1,0,0,0,1,0,0,2.607458422883656,1.6268991633501237,4.7350616455078125,9.947662353515625,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,12,761013,12,1,1,1,1,0,0,0,1,0,0,1.057882189992894,1.3418675074920106,4.500874996185303,6.758182525634766,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,12,761013,17,0,1,1,1,0,0,0,1,0,0,0.8991557415769357,0.4574873069236857,3.011665105819702,9.760978698730469,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,12,761013,136,0,1,1,1,0,0,0,1,0,0,0.37446257617952106,0.5156137933945023,7.2780938148498535,19.0,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,12,761013,139,1,1,0,0,0,1,0,0,0,0,0.7528280391470296,0.5443138145206743,6.197824001312256,17.379505157470703,0,0,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,12,761013,142,1,1,1,1,0,0,0,1,0,0,1.1525063560428592,0.9663024204241232,9.146256446838379,15.621674537658691,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,13,761014,10,0,0,1,0,0,1,0,0,0,0,2.7662326162383883,0.6054733815399526,6.459671497344971,7.418918132781982,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,13,761014,12,1,1,1,1,0,0,0,1,0,0,0.8313309888099776,0.4266207947829738,5.645626544952393,7.1447434425354,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,13,761014,15,0,1,1,1,0,0,0,1,0,0,0.70722605817785,0.124265379332541,3.190098762512207,7.77366304397583,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,13,761014,77,0,1,0,0,0,0,0,0,0,0,0.7876465084834776,0.8645052101889084,9.732644081115723,2.604722499847412,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,13,761014,110,0,1,1,1,0,0,0,1,0,0,2.011515009239161,2.9929963454625925,6.80579137802124,4.93021821975708,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,13,761014,219,1,1,1,1,0,0,0,1,0,0,1.2715400133067458,0.4342671530686751,5.144026756286621,7.738654136657715,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,13,761014,226,0,0,1,0,1,1,0,0,0,0,1.4632127433814452,2.441264704508222,7.925333023071289,4.386843681335449,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,13,761014,231,0,1,1,1,0,0,0,1,0,0,1.0696095132523282,0.9865384081159673,3.665708541870117,3.3221497535705566,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,14,761015,11,0,1,1,1,0,1,0,1,0,0,2.572111207698276,1.6933657525442625,6.000702857971191,8.465532302856445,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,14,761015,13,1,1,1,0,0,1,0,0,0,0,1.1000031361218945,0.13510773880144533,4.271791458129883,7.404154300689697,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,14,761015,16,1,1,1,1,0,0,0,1,0,0,0.15375028600336102,0.7103282506797188,2.272634744644165,6.889967441558838,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,14,761015,96,1,1,1,1,0,0,0,1,0,0,0.9149813589689703,0.9415327434335129,5.567314147949219,9.170297622680664,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,14,761015,114,0,0,1,0,0,0,0,0,0,0,0.09289143381839031,0.4896823625292442,5.346681118011475,12.291243553161621,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,14,761015,117,0,1,1,1,0,0,0,1,0,0,0.4266104232526897,0.4945514752803235,4.475454330444336,9.748701095581055,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,14,761015,125,1,1,1,1,0,0,0,0,0,0,1.0036019866555028,0.6934433481064513,10.541577339172363,15.229143142700195,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,14,761015,135,1,1,0,0,0,0,0,0,0,0,1.324162761692671,2.786273963901959,9.778863906860352,14.998835563659668,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,14,761015,225,0,0,1,0,0,0,0,0,0,0,1.1532540710300163,1.8756995507745962,3.8213305473327637,9.624611854553223,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,15,761016,11,0,0,1,0,0,0,0,0,0,0,0.9835429084582749,0.26937150351802774,5.839646816253662,6.900213241577148,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,15,761016,13,0,0,1,0,0,0,0,0,0,0,0.30069484629223076,0.34525707552914975,4.232250213623047,7.604865550994873,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,15,761016,16,0,1,1,1,0,0,0,1,0,0,0.6885201955968537,0.2768198432491023,1.5817123651504517,7.9164509773254395,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,15,761016,17,1,1,1,1,0,0,0,1,0,0,2.110515810201258,1.9217376135061996,1.841239094734192,8.422832489013672,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,15,761016,170,1,1,1,1,0,0,0,1,0,0,0.605534350695393,0.7277463214905161,8.160250663757324,7.848168849945068,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,15,761016,187,0,1,1,1,0,0,0,1,0,0,1.2665023944658338,1.2318547414188996,9.035152435302734,2.6948444843292236,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,15,761016,223,1,1,1,1,0,0,0,1,0,0,1.5549545001966911,2.374496976118854,5.768784523010254,6.917863368988037,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,15,761016,228,0,0,1,0,1,1,0,0,0,0,1.1861679148139594,1.5921068711839914,7.040379524230957,4.141361236572266,0,0,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,15,761016,235,0,1,1,1,0,0,0,1,0,0,1.5595229899127239,1.3954830976791983,3.3281290531158447,1.9508107900619507,0,0,0
