tick,blue_score,red_score,n_near_home,n_attack_like,blue_x0,blue_x1,blue_x2,blue_x3,blue_y0,blue_y1,blue_y2,blue_y3,forced0,forced1,forced2,forced3,near_home0,near_home1,near_home2,near_home3
115,0,0,2,2,4.620120048522949,6.698176383972168,2.6598119735717773,2.000138759613037,12.714316368103027,14.165138244628906,11.573488235473633,9.999922752380371,0,0,0,0,1,0,1,0
116,0,0,2,2,5.075405120849609,7.685628890991211,2.3006198406219482,2.000107765197754,11.725055694580078,13.705945014953613,10.716681480407715,9.999825477600098,0,0,0,0,1,0,1,0
117,0,0,2,2,5.645341396331787,7.3467020988464355,2.99938702583313,2.0,11.909213066101074,12.671030044555664,9.881429672241211,9.999763488769531,0,0,0,0,1,0,1,0
118,0,0,2,2,5.600832462310791,6.606721878051758,3.6981544494628906,1.999863624572754,12.103954315185547,13.262458801269531,9.046177864074707,9.999794006347656,0,0,0,0,1,0,1,0
119,0,0,2,2,5.388759613037109,5.539800643920898,4.3969221115112305,1.9997808933258057,12.61730670928955,13.480633735656738,8.210926055908203,9.999913215637207,0,0,0,0,1,0,1,0
120,0,0,2,2,4.493826389312744,4.462978839874268,5.09568977355957,1.9997998476028442,12.641152381896973,14.198711395263672,7.375674247741699,10.000051498413086,0,0,0,0,1,0,1,0
121,0,0,3,1,3.238135814666748,4.570009231567383,6.007870197296143,1.9998960494995117,13.591639518737793,12.947463989257812,7.97052526473999,10.000131607055664,0,0,0,0,1,1,1,0
122,0,0,2,2,3.8702802658081055,5.105722427368164,5.525321006774902,2.000002145767212,14.47838306427002,11.999343872070312,8.94677734375,10.000125885009766,0,0,0,0,0,1,1,0
123,0,0,2,2,4.888957500457764,5.641435623168945,5.038504123687744,2.00006365776062,14.093392372131348,11.051223754882812,9.920907974243164,10.0000638961792,0,0,0,0,0,1,1,0
124,0,0,2,2,5.907634735107422,6.177148818969727,4.551687240600586,2.0000662803649902,13.708401679992676,10.103103637695312,10.895038604736328,9.999990463256836,0,0,0,0,0,1,1,0
125,0,0,2,2,6.92631196975708,5.299201965332031,3.5240745544433594,2.000023603439331,13.323410987854004,9.458797454833984,10.534576416015625,9.999940872192383,0,0,0,0,0,1,1,0
126,0,0,2,2,6.664766311645508,4.22456169128418,3.166043281555176,1.5281448364257812,12.266284942626953,9.635064125061035,10.408968925476074,9.834431648254395,0,0,0,0,0,1,1,0
127,0,0,3,1,5.607771873474121,3.138526201248169,2.274207592010498,1.306769609451294,12.397754669189453,9.715363502502441,10.0961332321167,9.992959022521973,0,0,0,0,1,1,1,0
128,0,0,3,1,4.6572585105896,2.598700523376465,1.5139849185943604,0.8047201037406921,11.86629867553711,9.664936065673828,9.597801208496094,10.626553535461426,0,0,0,0,1,1,1,0
129,0,0,3,1,3.6206116676330566,2.516716241836548,0.6937265396118164,1.1797785758972168,11.532706260681152,10.750845909118652,10.203757286071777,11.258455276489258,0,0,0,0,1,1,1,0
130,0,0,3,1,2.8691701889038086,2.8345859050750732,1.1429436206817627,1.5059841871261597,11.036136627197266,12.302490234375,11.195788383483887,11.206542015075684,0,0,0,0,1,1,1,0
131,0,0,3,1,2.6111927032470703,2.924654006958008,2.1768269538879395,1.6499683856964111,11.004521369934082,13.226784706115723,12.106334686279297,10.146240234375,0,0,0,0,1,1,1,0
132,0,0,3,1,2.1384353637695312,2.967194080352783,3.2408905029296875,1.8528242111206055,11.985551834106445,13.663338661193848,12.338044166564941,10.06148910522461,0,0,0,0,1,1,1,0
133,0,0,3,1,2.109933376312256,2.849506139755249,3.606266736984253,1.9329614639282227,12.783370018005371,14.327926635742188,13.035922050476074,10.028008460998535,0,0,0,0,1,1,1,0
134,0,0,2,2,2.1015477180480957,2.9957523345947266,3.769181251525879,1.9694639444351196,13.362610816955566,14.459110260009766,13.644076347351074,10.012758255004883,0,0,0,0,1,0,1,0
135,0,0,2,2,2.590754985809326,3.162320852279663,3.4337737560272217,1.986090898513794,13.70966911315918,14.949268341064453,13.34488296508789,10.00581169128418,0,0,0,0,1,0,1,0
136,0,0,2,2,2.3547072410583496,3.5446269512176514,3.656465530395508,1.9936646223068237,14.066317558288574,14.590359687805176,13.503030776977539,10.002647399902344,0,0,0,0,1,0,1,0
137,0,0,2,2,2.247187614440918,3.8721766471862793,3.430290699005127,1.997114658355713,14.228771209716797,14.557913780212402,13.291170120239258,10.001205444335938,0,0,0,0,1,0,1,0
138,0,0,3,1,2.806943416595459,3.99045991897583,2.7945117950439453,1.9986865520477295,13.598084449768066,13.938027381896973,14.39165210723877,10.000548362731934,0,0,0,0,1,1,1,0
139,0,0,2,2,2.5682289600372314,4.0784783363342285,3.750229835510254,1.999403476715088,12.53557014465332,12.887908935546875,14.913690567016602,10.000248908996582,0,0,0,0,1,1,0,0
140,0,0,2,2,2.329827308654785,5.163809776306152,4.827597141265869,1.9997321367263794,11.472986221313477,12.798595428466797,14.754942893981934,10.00011157989502,0,0,0,0,1,1,0,0
141,0,0,1,3,2.259319305419922,6.252760410308838,5.904964447021484,1.8906575441360474,11.158929824829102,12.788211822509766,14.596195220947266,9.512124061584473,0,0,0,0,1,0,0,0
142,0,0,1,3,3.0954251289367676,7.341711044311523,5.875021934509277,2.1465952396392822,10.46118450164795,12.777828216552734,13.507606506347656,9.604911804199219,0,0,0,0,1,0,0,0
143,0,0,2,2,3.887345314025879,7.460460186004639,4.790557384490967,2.2526538372039795,11.20870304107666,11.695322036743164,13.408321380615234,9.80838680267334,0,0,0,0,1,0,1,0
144,0,0,2,2,3.5574240684509277,6.436595439910889,3.815598964691162,2.2079317569732666,12.246524810791016,11.324347496032715,13.730490684509277,9.975152969360352,0,0,0,0,1,0,1,0
145,0,0,3,1,3.2301323413848877,5.399122714996338,3.297451972961426,2.1117069721221924,13.700726509094238,10.993331909179688,12.286469459533691,10.036327362060547,0,0,0,0,1,1,1,0
