episode_id,timesteps,policy_update,rollout_step,latent_z,mode,map_set,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
67,1408,0,176,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.19999998807907104,1,0,8,13.0,8.956920199924046,1.0,0.5,-0.0539817214012146,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.8157581686973572
68,1408,0,176,0,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.3199999928474426,1,0,4,12.0,9.24386998226768,-1.0,-0.5,0.01855418086051941,0.019999999552965164,-1.0,-100.0,0.0,-0.8455586433410645
69,1416,0,177,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.23999999463558197,1,0,3,12.0,10.99412446863511,1.0,0.5,-0.05414804816246033,0.029999999329447746,1.0,100.0,0.0,0.8465820550918579
70,1424,0,178,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.2800000011920929,1,0,8,12.0,10.604517886513158,1.0,0.8999999761581421,0.016426682472229004,0.029999999329447746,2.0,200.0,-0.20000000298023224,0.9528270363807678
71,1440,0,180,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.3199999928474426,1,0,2,12.0,9.889834755345396,1.0,0.5,-0.0013470351696014404,0.014999999664723873,1.0,100.0,-0.20000000298023224,0.8188816905021667
72,1456,0,182,1,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,2,13.0,11.217182360197368,1.0,0.5,-0.003693997859954834,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.8199210166931152
73,1504,0,188,1,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.19999998807907104,1,0,3,11.0,9.788326687282986,1.0,0.4000000059604645,-0.02074083685874939,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.8013288974761963
74,1536,0,192,1,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,16,0.2800000011920929,1,0,0,12.0,10.174721717834473,-0.5,0.0,-0.0033773183822631836,0.0,0.0,0.0,-0.20000000298023224,-0.3371240794658661
75,1552,0,194,2,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.2800000011920929,1,0,3,11.0,9.713651021321615,-1.0,-0.5,0.00984501838684082,0.019999999552965164,-1.0,-100.0,0.0,-0.8461780548095703
76,1552,0,194,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,3,13.0,10.062264693410773,1.0,0.5,-0.08469533920288086,0.029999999329447746,1.0,100.0,0.0,0.8444045782089233
77,1568,0,196,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.3199999928474426,1,0,2,12.0,9.970238936574836,1.0,0.5,-0.007693588733673096,0.014999999664723873,1.0,100.0,0.0,0.8487950563430786
78,1584,0,198,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,20,0.19999998807907104,1,0,5,12.0,10.075194549560546,1.0,0.5,-0.01232600212097168,0.014999999664723873,1.0,100.0,-0.20000000298023224,0.8179754018783569
79,1592,0,199,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.1599999964237213,1,0,0,12.0,11.369475515265213,1.0,0.5,-0.0303439199924469,0.029999999329447746,1.0,100.0,0.0,0.8482595086097717
