condition,opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
learned_qphi_switching,OP5,2012,0,2,64,3,1,1,-0.04778468608856201,0.018787182867527008,-0.09769181907176971,0.03955192118883133,0.24322497844696045,0.2599680721759796,0.2313842624425888,0.26542267203330994
learned_qphi_switching,OP5,2012,0,3,96,3,3,0,-0.08643901348114014,0.0015079425647854805,-0.03292655944824219,0.059909820556640625,0.23231501877307892,0.2536717653274536,0.24508540332317352,0.26892784237861633
learned_qphi_switching,OP5,2012,0,4,128,3,3,0,-0.022747185081243515,0.013645426370203495,-0.058035410940647125,0.01862485706806183,0.24724140763282776,0.25640490651130676,0.23866884410381317,0.2576848268508911
learned_qphi_switching,OP5,2013,0,0,0,3,3,0,-0.13850823044776917,0.04489399492740631,-0.0047673508524894714,0.1204683929681778,0.2155173420906067,0.2589004635810852,0.24635714292526245,0.27922502160072327
learned_qphi_switching,OP5,2013,0,1,32,1,3,1,-0.08006778359413147,0.01318178791552782,-0.025042323395609856,-0.008797043934464455,0.23650865256786346,0.25962400436401367,0.2498873770236969,0.25397998094558716
learned_qphi_switching,OP5,2013,0,2,64,1,1,0,-0.057986002415418625,0.07751627266407013,-0.0554313026368618,0.020281657576560974,0.236457958817482,0.270770788192749,0.23706278204917908,0.2557084858417511
learned_qphi_switching,OP5,2013,0,3,96,1,1,0,-0.037709034979343414,0.08434993773698807,-0.017359022051095963,0.041103169322013855,0.2362736463546753,0.2669468820095062,0.24113108217716217,0.2556483745574951
learned_qphi_switching,OP5,2014,0,0,0,3,1,1,-0.1407972127199173,0.04880015552043915,-0.003942936658859253,0.12204049527645111,0.21477480232715607,0.2596118152141571,0.24627390503883362,0.279339462518692
learned_qphi_switching,OP5,2014,0,1,32,1,3,1,-0.047408610582351685,0.04897503927350044,-0.06850945949554443,0.013546139001846313,0.24136210978031158,0.2657834589481354,0.2363225370645523,0.2565319240093231
learned_qphi_switching,OP5,2014,0,2,64,3,1,1,-0.03672776371240616,0.0363728404045105,-0.04890229552984238,0.04333604872226715,0.2411326915025711,0.25941988825798035,0.23821482062339783,0.2612325847148895
learned_qphi_switching,OP5,2014,0,3,96,3,3,0,-0.03781915456056595,0.019298899918794632,-0.06454941630363464,0.027907423675060272,0.24388225376605988,0.25821787118911743,0.23744958639144897,0.2604503333568573
learned_qphi_switching,OP5,2015,0,0,0,3,3,0,-0.1299089789390564,0.04602853208780289,0.0005657635629177094,0.11804977059364319,0.21677210927009583,0.25847113132476807,0.24698343873023987,0.27777329087257385
learned_qphi_switching,OP5,2015,0,1,32,1,3,1,-0.04527922719717026,0.044167399406433105,-0.05401042103767395,0.012844458222389221,0.2412707358598709,0.26384615898132324,0.2391733080148697,0.25570982694625854
learned_qphi_switching,OP5,2015,0,2,64,1,1,0,-0.07093501836061478,0.08461914956569672,-0.011886026710271835,0.07635825127363205,0.22790329158306122,0.2662605941295624,0.24176599085330963,0.2640700936317444
learned_qphi_switching,OP5,2015,0,3,96,3,1,1,-0.05784754082560539,0.0013958755880594254,-0.0680178701877594,0.07600834965705872,0.2384277582168579,0.2529798150062561,0.23601514101028442,0.27257728576660156
learned_qphi_switching,OP6,2000,0,0,0,3,3,0,-0.14084039628505707,0.04611728712916374,-0.00058722123503685,0.11999280750751495,0.2148618996143341,0.25903239846229553,0.24721260368824005,0.2788931429386139
learned_qphi_switching,OP6,2000,0,1,32,1,3,1,-0.06299016624689102,0.026260681450366974,-0.038279663771390915,0.01278967410326004,0.23825986683368683,0.26050257682800293,0.24422071874141693,0.2570168673992157
