opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
OP6,2004,0,0,0,3,3,0,-0.1433747410774231,0.04026055335998535,-0.001620423048734665,0.11890414357185364,0.21488001942634583,0.2581949830055237,0.2476048469543457,0.2793201506137848
OP6,2004,0,1,32,1,3,1,-0.08986733853816986,0.08225161582231522,-0.038105178624391556,0.046237099915742874,0.22795940935611725,0.2707745432853699,0.24006980657577515,0.2611962556838989
OP6,2004,0,2,64,1,1,0,-0.051516350358724594,0.08893145620822906,-0.03705751150846481,0.03429246321320534,0.23502033948898315,0.27045881748199463,0.23844313621520996,0.25607770681381226
OP6,2004,0,3,96,3,1,1,-0.07144373655319214,0.010839222930371761,-0.032009776681661606,0.028381455689668655,0.2363528460264206,0.25662314891815186,0.24585938453674316,0.2611646354198456
OP6,2004,0,4,128,3,3,0,-0.07241395115852356,0.01471105869859457,-0.07970024645328522,0.04053032025694847,0.23790590465068817,0.2595632076263428,0.23617874085903168,0.26635220646858215
OP6,2004,0,5,160,3,3,0,-0.024055790156126022,0.003439496271312237,-0.04997420683503151,0.045716915279626846,0.2454255223274231,0.2522672116756439,0.23914620280265808,0.2631610631942749
OP6,2005,0,0,0,3,3,0,-0.12077395617961884,0.048321157693862915,0.007942557334899902,0.13025273382663727,0.21706362068653107,0.25705382227897644,0.24688111245632172,0.27900147438049316
OP6,2005,0,1,32,1,3,1,-0.09698228538036346,0.0990690141916275,-0.033898696303367615,0.04361458495259285,0.22559788823127747,0.27445995807647705,0.2402878850698471,0.2596542537212372
OP6,2005,0,2,64,1,1,0,-0.06952431797981262,0.090039923787117,-0.0206441693007946,0.03393940255045891,0.2308349609375,0.27076929807662964,0.24239851534366608,0.2559972405433655
OP6,2005,0,3,96,3,1,1,-0.035644903779029846,0.030801404267549515,-0.08075032383203506,0.05183305963873863,0.24295324087142944,0.2596449851989746,0.23223820328712463,0.2651635706424713
OP6,2005,0,4,128,1,3,1,-0.06158978492021561,0.08139266073703766,-0.033740781247615814,0.04858148470520973,0.23264366388320923,0.26840320229530334,0.23921361565589905,0.259739488363266
OP6,2005,0,5,160,3,1,1,-0.04317440465092659,0.02921498939394951,-0.07837556302547455,0.04959718510508537,0.24168038368225098,0.2598242461681366,0.233320951461792,0.26517438888549805
OP6,2006,0,0,0,3,3,0,-0.1492176204919815,0.04291520640254021,-0.010666046291589737,0.11984997987747192,0.2141701877117157,0.2595382034778595,0.24599778652191162,0.28029388189315796
OP6,2006,0,1,32,1,3,1,-0.08115571737289429,0.07727792859077454,-0.027588099241256714,0.029539424926042557,0.23021547496318817,0.26973751187324524,0.2428838461637497,0.2571631968021393
OP6,2006,0,2,64,3,1,1,-0.09892702102661133,0.027789141982793808,-0.06694544851779938,0.06630811095237732,0.23002974689006805,0.26110556721687317,0.23750537633895874,0.27135929465293884
OP6,2006,0,3,96,1,3,1,-0.02027548849582672,0.10182980448007584,-0.0020983442664146423,0.02867518737912178,0.2381868213415146,0.26912087202072144,0.24255597591400146,0.2501363158226013
OP6,2006,0,4,128,3,1,1,-0.08471815288066864,0.006490296684205532,-0.07201623916625977,0.05302539840340614,0.234964519739151,0.25740301609039307,0.2379680573940277,0.26966437697410583
OP6,2006,0,5,160,1,3,1,-0.04207589849829674,0.07868301868438721,-0.0325641930103302,0.049467507749795914,0.2361958622932434,0.26651227474212646,0.238453209400177,0.25883862376213074
OP6,2006,0,6,192,3,1,1,-0.09190255403518677,0.0016652243211865425,-0.08383984863758087,0.07622912526130676,0.2331397384405136,0.25600725412368774,0.23502708971500397,0.2758258581161499
OP6,2007,0,0,0,3,3,0,-0.15500333905220032,0.04952763020992279,-0.009006183594465256,0.12357217073440552,0.21252228319644928,0.2607541084289551,0.2459293007850647,0.28079429268836975
OP6,2007,0,1,32,3,3,0,-0.055799294263124466,0.017966195940971375,-0.0415845550596714,0.02006899192929268,0.23982590436935425,0.25818562507629395,0.24325932562351227,0.25872910022735596
OP6,2007,0,2,64,1,3,1,-0.04939568415284157,0.084970623254776,-0.01631563901901245,0.07600939273834229,0.2319619059562683,0.265320748090744,0.239763543009758,0.2629537582397461
