policy_seed,opponent,eval_seed,episode_key,step_i,score_stratum,failure_labels_at_t,step,time_remaining_frac,blue_score,red_score,score_diff,blue_carrying,red_carrying,blue_tagged,red_tagged,blue_cooldown_active,agents_forward,formation_spread,team_separation,carrier_present,carrier_pressure,carrier_under_pressure,escort_available,escort_distance,carrier_unescorted,red_tag_ready_count,nearest_ready_defender,defender_tag_available,home_threatened,our_flag_away_from_home,nearest_red_to_our_flag,nearest_blue_to_our_flag,blue_alive_count,red_alive_count,intervention_margin,mate_can_intervene
3200001,OP6,9400000,OP6:9400000,41,leading,,41,0.8291666666666666,1.0,0.0,1.0,0,0,0,1,2,2,0.1031794548034668,0.20619508624076843,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,1.0,0.0,0.3305940330028534,0.47320953011512756,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,42,leading,,42,0.825,1.0,0.0,1.0,0,0,0,1,2,2,0.0948122963309288,0.20480433106422424,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,1.0,0.0,0.2766496539115906,0.5155002474784851,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,43,leading,,43,0.8208333333333333,1.0,0.0,1.0,1,0,0,1,2,2,0.08186111599206924,0.18651220202445984,1.0,0.11423011869192123,1.0,1.0,0.18651220202445984,0.0,1,0.5548593997955322,1.0,1.0,0.0,0.22270524501800537,0.5598958730697632,2,2,0.3683471977710724,1.0
3200001,OP6,9400000,OP6:9400000,44,leading,tagged_while_carrying,44,0.8166666666666667,1.0,0.0,1.0,1,0,0,0,1,2,0.10958981513977051,0.17463363707065582,1.0,0.10197491943836212,1.0,1.0,0.17463363707065582,0.0,2,0.10197491943836212,1.0,1.0,0.0,0.16876086592674255,0.605165958404541,2,2,-0.0726587176322937,0.0
3200001,OP6,9400000,OP6:9400000,45,leading,,45,0.8125,1.0,0.0,1.0,1,0,1,0,1,2,0.0987214595079422,0.10823027044534683,1.0,0.14178594946861267,1.0,1.0,0.10823027044534683,0.0,1,0.5943337678909302,1.0,1.0,0.0,0.11481646448373795,0.64473557472229,2,2,0.48610349744558334,1.0
3200001,OP6,9400000,OP6:9400000,46,leading,,46,0.8083333333333333,1.0,0.0,1.0,1,0,1,0,1,2,0.047310829162597656,0.05100969597697258,1.0,0.16463036835193634,1.0,1.0,0.05100969597697258,0.0,1,0.5848984718322754,1.0,1.0,0.0,0.06087205559015274,0.6152106523513794,2,2,0.5338887758553028,1.0
3200001,OP6,9400000,OP6:9400000,47,leading,,47,0.8041666666666667,1.0,0.0,1.0,1,1,1,0,1,2,0.04331088066101074,0.04742085933685303,1.0,0.17772912979125977,1.0,1.0,0.04742085933685303,0.0,1,0.5584253072738647,1.0,1.0,1.0,0.0,0.5376714468002319,2,2,0.5110044479370117,1.0
3200001,OP6,9400000,OP6:9400000,48,leading,,48,0.8,1.0,0.0,1.0,1,1,1,0,1,2,0.03931098058819771,0.04390450567007065,1.0,0.19153985381126404,0.0,1.0,0.04390450567007065,0.0,1,0.5149602293968201,1.0,1.0,1.0,0.0,0.49020418524742126,2,2,0.4710557237267494,1.0
3200001,OP6,9400000,OP6:9400000,49,leading,,49,0.7958333333333334,1.0,0.0,1.0,1,1,1,0,1,2,0.035311032086610794,0.04047942906618118,1.0,0.20524665713310242,0.0,1.0,0.04047942906618118,0.0,1,0.4114813208580017,1.0,1.0,1.0,0.0,0.38522541522979736,2,2,0.3710018917918205,1.0
3200001,OP6,9400000,OP6:9400000,50,leading,,50,0.7916666666666666,1.0,0.0,1.0,1,1,1,0,1,1,0.07342872768640518,0.08717088401317596,1.0,0.24137814342975616,0.0,1.0,0.08717088401317596,0.0,1,0.32404977083206177,1.0,1.0,1.0,0.0,0.2610308527946472,2,2,0.2368788868188858,1.0
3200001,OP6,9400000,OP6:9400000,51,leading,,51,0.7875,1.0,0.0,1.0,1,1,1,0,1,0,0.06404443085193634,0.0797373577952385,1.0,0.21251416206359863,0.0,1.0,0.0797373577952385,0.0,1,0.23231251537799835,1.0,1.0,1.0,0.0,0.16214439272880554,2,2,0.15257515758275986,1.0
