seed,pole,composition,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count,arm
20200026,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,164,796,0,0,65,0,FIXED_4A0D
20200027,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,172,788,0,0,64,0,FIXED_4A0D
20200028,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,180,780,0,0,70,0,FIXED_4A0D
20200029,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,276,684,0,0,106,0,FIXED_4A0D
20200030,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,108,852,0,0,64,0,FIXED_4A0D
20200031,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,132,828,0,0,38,0,FIXED_4A0D
20200032,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,320,640,0,0,139,0,FIXED_4A0D
20200033,A,4A_0D,,"0,1,2,3",1,1,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,260,700,0,0,80,0,FIXED_4A0D
20200034,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,112,848,0,0,52,0,FIXED_4A0D
20200035,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,152,808,0,0,59,0,FIXED_4A0D
20200036,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,132,828,0,0,46,0,FIXED_4A0D
20200037,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,180,780,0,0,76,0,FIXED_4A0D
20200038,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,272,688,0,0,115,0,FIXED_4A0D
20200039,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,92,868,0,0,31,0,FIXED_4A0D
20200040,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,216,744,0,0,89,0,FIXED_4A0D
20200041,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,244,716,0,0,98,0,FIXED_4A0D
20200042,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,280,680,0,0,141,0,FIXED_4A0D
20200043,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,220,740,0,0,92,0,FIXED_4A0D
20200044,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,116,844,0,0,55,0,FIXED_4A0D
