pole,seed,pair,steps,n_ticks,n_active,n_tagged,n_carrying,n_dead,n_in,n_out,tgt,tgt_in,tgt_out,dir,dir_in,dir_out,tgt_all,dir_joint,dir_any,gohome_legal,w_empty,exact_ill,exact_ill_in,exact_ill_out,sub_cost,n_win,n_win_in,n_win_out,nat,nat_in,nat_out,itr,itr_in,itr_out,n_win_free,nat_free,itr_free,g6_tgt,g6_dir,g6_all,fid_sum,legal_bad,rt_mismatch
A,21100030,1-3,240,480,441,39,0,0,156,285,429,156,273,120,67,53,429,120,209,0,0,106,106,0,211.46484477274004,194,52,142,190,49,141,194,52,142,7,7,7,61,0,0,98.542912038843,0,0
B,21100030,1-3,240,480,435,45,0,0,205,230,423,205,218,181,89,92,423,181,295,1,0,149,149,0,303.6502613426136,173,77,96,161,71,90,170,77,93,10,10,10,17,3,0,199.77540420570455,0,0
A,21100031,2-3,184,368,368,0,0,0,30,338,367,30,337,18,2,16,367,18,43,2,0,28,28,0,61.65826980667572,170,17,153,170,17,153,170,17,153,0,0,0,10,0,0,83.23659258027695,0,0
B,21100031,2-3,240,480,466,14,0,0,154,312,460,154,306,120,70,50,460,120,198,2,0,83,83,0,170.4875523152167,214,58,156,206,56,150,214,58,156,20,20,20,75,4,0,134.88712372425846,0,0
A,21100032,0-1,240,480,480,0,0,0,141,339,474,141,333,133,47,86,474,133,220,1,0,140,140,0,292.67747851454294,226,55,171,221,54,167,226,55,171,10,10,10,2,0,0,111.3824232925479,0,0
B,21100032,0-1,240,480,480,0,0,0,31,449,479,31,448,16,4,12,479,16,42,1,0,30,30,0,62.561316142889204,226,16,210,225,15,210,226,16,210,0,0,0,30,0,0,59.606743256349034,0,0
A,21100033,0-2,240,480,320,160,0,0,225,95,314,222,92,194,164,30,314,190,251,0,0,25,25,0,46.48839332281056,61,26,35,60,26,34,61,26,35,0,0,0,0,3,0,33.3259655445312,0,0
B,21100033,0-2,240,480,480,0,0,0,46,434,478,46,432,30,24,6,478,30,49,0,0,15,15,0,28.375296018025086,226,12,214,222,12,210,226,12,214,0,0,0,86,1,0,11.754988395512221,0,0
A,21100034,0-3,240,480,346,134,0,0,232,114,339,232,107,201,158,43,339,201,273,1,0,73,73,0,149.3777365217709,87,48,39,87,48,39,85,47,38,0,0,0,1,0,0,42.013422481528025,0,0
B,21100034,0-3,240,480,480,0,0,0,140,340,470,140,330,123,43,80,470,123,218,2,0,136,136,0,286.4502981206164,226,63,163,219,58,161,224,62,162,8,8,8,103,0,0,158.2252096536622,0,0
A,21100035,1-2,240,480,381,99,0,0,204,177,376,204,172,177,129,48,376,176,246,1,0,62,62,0,120.16380672979902,122,44,78,119,43,76,122,44,78,14,14,14,32,1,0,151.60395028765652,0,0
B,21100035,1-2,240,480,467,13,0,0,102,365,463,102,361,83,47,36,463,83,137,0,0,67,67,0,137.30935195033578,212,43,169,211,43,168,212,43,169,21,21,21,51,3,0,79.48124829139068,0,0
A,21100036,1-3,240,480,480,0,0,0,107,373,471,107,364,77,42,35,471,76,142,0,0,72,72,0,144.87778116048125,226,44,182,221,41,180,226,44,182,33,33,33,61,3,0,68.26664991558262,0,0
B,21100036,1-3,240,480,437,43,0,0,163,274,431,163,268,109,61,48,431,109,210,2,0,94,94,0,193.56633702168784,181,54,127,170,49,121,179,54,125,4,3,4,50,3,0,63.99503653929944,0,0
A,21100037,2-3,185,370,362,8,0,0,153,209,353,153,200,113,45,68,353,113,224,0,0,131,131,0,268.0804594445358,158,59,99,154,58,96,158,59,99,7,7,7,39,0,0,61.14524305946733,0,0
B,21100037,2-3,240,480,460,20,0,0,61,399,458,61,397,49,26,23,458,49,84,0,0,37,37,0,76.25123751297433,201,22,179,201,22,179,200,22,178,1,1,1,158,3,0,19.048044487765505,0,0
A,21100038,0-1,240,480,325,155,0,0,238,87,314,236,78,210,171,39,314,208,272,1,0,62,62,0,126.0587152200925,63,33,30,59,32,27,62,33,29,0,0,0,0,1,0,65.13535277701016,0,0
B,21100038,0-1,240,480,402,78,0,0,210,192,392,210,182,185,108,77,392,184,284,2,0,95,95,0,191.5882053202225,145,69,76,139,68,71,143,68,75,1,1,1,17,3,0,97.9089467150301,0,0
A,21100039,0-2,185,370,342,28,0,0,155,187,329,155,174,113,62,51,329,112,193,2,0,100,100,0,202.80672005620835,134,54,80,128,51,77,134,54,80,2,2,2,23,4,0,148.41589986293485,0,0
B,21100039,0-2,240,480,431,49,0,0,182,249,427,182,245,151,77,74,427,151,245,2,0,115,115,0,238.14162078903476,172,59,113,164,53,111,172,59,113,4,4,4,4,1,0,116.45902570041002,0,0
A,21100040,0-3,240,480,458,22,0,0,99,359,452,99,353,75,39,36,452,75,132,1,0,67,67,0,135.10079022173088,200,28,172,195,28,167,200,28,172,3,3,3,33,1,0,113.31675221495156,0,0
B,21100040,0-3,240,480,480,0,0,0,70,410,467,70,397,35,8,27,467,35,92,1,0,69,69,0,142.77003265647974,226,35,191,223,32,191,226,35,191,1,1,1,43,0,0,89.34091593818405,0,0
A,21100041,1-2,240,480,326,154,0,0,198,128,320,198,122,186,167,19,320,183,217,0,0,20,20,0,41.514535959509644,70,14,56,69,14,55,70,14,56,0,0,0,28,2,0,45.08332223864011,0,0
B,21100041,1-2,240,480,459,21,0,0,108,351,453,106,347,97,50,47,453,95,150,1,0,78,78,0,161.2625190298507,201,33,168,200,33,167,199,33,166,1,1,1,83,1,0,84.78424009383676,0,0
A,21100042,1-3,129,258,258,0,0,0,68,190,253,68,185,54,19,35,253,54,96,1,0,67,67,0,141.14942226233262,114,36,78,112,35,77,114,36,78,7,7,7,29,0,0,97.65900954828292,0,0
B,21100042,1-3,240,480,477,3,0,0,186,291,468,186,282,138,63,75,468,138,253,2,0,145,145,0,304.6158245288291,224,84,140,213,80,133,224,84,140,0,0,0,71,1,0,191.4319566640803,0,0
A,21100043,2-3,240,480,376,104,0,0,174,202,373,174,199,149,131,18,373,149,193,0,0,37,37,0,71.49113322690621,116,19,97,108,15,93,114,19,95,0,0,0,8,1,0,55.47542642912486,0,0
B,21100043,2-3,240,480,455,25,0,0,103,352,450,103,347,74,44,30,450,74,132,0,0,60,60,0,122.40408948928038,198,32,166,192,30,162,197,32,165,16,16,16,3,4,0,64.39890497829676,0,0
A,21100044,0-1,240,480,322,158,0,0,238,84,315,238,77,217,161,56,315,212,282,1,0,62,62,0,129.2220670798661,67,38,29,66,38,28,66,38,28,0,0,0,0,0,0,29.419102944494863,0,0
B,21100044,0-1,240,480,453,27,0,0,179,274,451,179,272,169,76,93,451,167,263,3,0,138,138,0,285.9120554477968,197,71,126,188,64,124,197,71,126,0,0,0,31,0,0,163.08181327205162,0,0
A,21100045,0-2,212,424,424,0,0,0,55,369,417,55,362,35,12,23,417,35,76,1,0,54,54,0,112.43074942055358,198,32,166,193,30,163,198,32,166,0,0,0,110,0,0,52.681073207831076,0,0
B,21100045,0-2,240,480,366,114,0,0,190,176,359,188,171,178,146,32,359,173,219,2,0,37,37,0,76.32114451831785,104,24,80,99,21,78,104,24,80,1,1,1,12,2,0,44.802874369986796,0,0
A,21100046,0-3,240,480,306,174,0,0,231,75,303,231,72,213,190,23,303,211,247,0,0,13,13,0,21.243084845634595,47,17,30,45,16,29,47,17,30,0,0,0,1,1,0,47.42936030177842,0,0
B,21100046,0-3,240,480,291,189,0,0,235,56,277,232,45,226,201,25,277,213,254,0,0,5,5,0,8.863268767339598,31,17,14,30,17,13,30,17,13,0,0,0,0,2,0,28.08942929149573,0,0
A,21100047,1-2,240,480,363,117,0,0,213,150,359,211,148,183,130,53,359,180,263,1,0,80,80,0,166.05814383803835,108,38,70,103,38,65,108,38,70,3,3,3,6,0,0,140.3537523887563,0,0
B,21100047,1-2,240,480,480,0,0,0,170,310,466,169,297,140,55,85,466,139,249,1,0,169,169,0,348.7239694455271,226,86,140,217,79,138,226,86,140,0,0,0,38,0,0,209.49640848019558,0,0
A,21100048,1-3,240,480,453,27,0,0,237,216,437,237,200,187,114,73,437,187,312,0,0,155,155,0,309.37169612535826,190,87,103,189,86,103,188,86,102,4,4,4,14,3,1,161.77629341058355,0,0
B,21100048,1-3,240,480,303,177,0,0,235,68,299,235,64,213,184,29,299,211,264,0,0,33,33,0,60.245854330587576,53,32,21,53,32,21,53,32,21,0,0,0,0,2,0,39.04548361283221,0,0
A,21100049,2-3,240,480,379,101,0,0,201,178,375,201,174,169,121,48,375,168,234,1,0,70,70,0,136.90603567338877,131,55,76,120,48,72,131,55,76,27,27,27,3,0,0,40.99698077929024,0,0
B,21100049,2-3,240,480,279,201,0,0,241,38,276,240,36,223,207,16,276,222,249,1,0,15,15,0,25.52716628349075,25,11,14,25,11,14,25,11,14,0,0,0,2,0,0,18.81286521465694,0,0
A,21100050,0-1,240,480,360,120,0,0,225,135,342,222,120,182,142,40,342,175,266,0,0,60,60,0,121.95438022512676,92,47,45,86,45,41,89,47,42,0,0,0,12,1,0,61.730574210979015,0,0
B,21100050,0-1,240,480,480,0,0,0,38,442,475,38,437,8,1,7,475,8,50,0,0,38,38,0,77.99087783011028,226,20,206,224,18,206,226,20,206,0,0,0,155,0,0,53.91458339944223,0,0
A,21100051,0-2,240,480,473,7,0,0,156,317,471,156,315,130,65,65,471,130,212,1,0,119,119,0,247.03226091294897,221,61,160,211,55,156,220,61,159,3,2,3,102,2,0,122.98415084162878,0,0
B,21100051,0-2,240,480,439,41,0,0,196,243,428,196,232,162,76,86,428,161,278,1,0,138,138,0,278.78277392730485,175,72,103,161,61,100,175,72,103,0,0,0,16,1,0,162.0774578971163,0,0
A,21100052,0-3,240,480,298,182,0,0,243,55,295,243,52,222,202,20,295,221,264,0,0,33,33,0,64.6850780967888,43,18,25,41,16,25,43,18,25,1,1,1,0,2,0,16.728363638012443,0,0
B,21100052,0-3,240,480,439,41,0,0,208,231,428,207,221,193,103,90,428,191,297,1,0,138,138,0,282.5155688453682,174,75,99,166,70,96,174,75,99,0,0,0,7,0,0,117.34904282320684,0,0
A,21100053,1-2,175,350,350,0,0,0,53,297,343,53,290,29,10,19,343,29,71,2,0,50,50,0,106.64609571366373,160,27,133,160,27,133,160,27,133,3,3,3,60,0,0,65.53739949943588,0,0
B,21100053,1-2,240,480,457,23,0,0,103,354,453,103,350,77,42,35,453,77,137,3,0,68,68,0,139.19460247936,201,34,167,198,33,165,194,34,160,0,0,0,85,0,0,66.14184599348343,0,0
A,21100054,1-3,204,408,359,49,0,0,172,187,353,172,181,168,110,58,353,167,225,0,0,90,90,0,183.01611777839454,136,58,78,131,58,73,134,58,76,8,8,8,19,4,0,73.47279689678858,0,0
B,21100054,1-3,240,480,448,32,0,0,263,185,439,263,176,264,139,125,439,263,381,1,0,196,196,0,401.8828474136414,186,107,79,166,99,67,186,107,79,1,1,1,4,3,0,228.73206202527837,0,0
A,21100055,2-3,180,360,317,43,0,0,189,128,304,187,117,172,89,83,304,170,272,1,0,132,132,0,268.16515665773636,119,69,50,109,65,44,119,69,50,0,0,0,1,3,0,213.7035259651241,0,0
B,21100055,2-3,240,480,454,26,0,0,183,271,438,183,255,139,63,76,438,139,258,2,0,144,144,0,287.64603439115245,198,73,125,189,71,118,196,72,124,0,0,0,11,3,1,191.07232183055316,0,0
A,21100056,0-1,143,286,286,0,0,0,37,249,285,37,248,14,2,12,285,14,45,2,0,35,35,0,75.53620899694779,128,20,108,125,17,108,128,20,108,13,13,13,91,0,0,61.87344689684589,0,0
B,21100056,0-1,240,480,441,39,0,0,218,223,425,216,209,187,121,66,425,185,284,2,0,128,128,0,258.0910518712802,184,84,100,177,78,99,184,84,100,5,5,5,8,7,0,155.2800523017252,0,0
A,21100057,0-2,240,480,438,42,0,0,216,222,431,216,215,166,79,87,431,166,295,1,0,150,150,0,304.06601719136694,175,80,95,170,80,90,175,80,95,9,9,9,19,2,0,110.55913914037625,0,0
B,21100057,0-2,240,480,460,20,0,0,157,303,452,157,295,115,47,68,452,115,216,1,0,126,126,0,262.2138002862514,200,66,134,192,63,129,199,66,133,0,0,0,24,1,0,142.53315302892116,0,0
A,21100058,0-3,240,480,303,177,0,0,260,43,296,260,36,229,203,26,296,229,280,1,0,46,46,0,94.3995978784541,48,32,16,44,28,16,48,32,16,0,0,0,0,3,0,95.00094481391154,0,0
B,21100058,0-3,240,480,429,51,0,0,166,263,419,164,255,154,69,85,419,152,249,1,0,109,109,0,222.82976337457353,172,63,109,166,59,107,172,63,109,0,0,0,29,1,0,90.32836248287437,0,0
A,21100059,1-2,127,254,254,0,0,0,77,177,252,77,175,55,18,37,252,55,107,1,0,77,77,0,159.37995135488387,112,38,74,111,38,73,112,38,74,15,15,15,49,0,0,112.84879033195547,0,0
B,21100059,1-2,240,480,480,0,0,0,42,438,477,42,435,21,6,15,477,21,57,1,0,42,42,0,85.47681727924895,226,23,203,224,21,203,226,23,203,0,0,0,174,0,0,71.97489303510665,0,0
A,21100060,1-3,240,480,277,203,0,0,244,33,274,242,32,220,204,16,274,217,259,1,0,19,19,0,39.31712501014493,26,18,8,26,18,8,26,18,8,0,0,0,0,1,0,58.92527257796384,0,0
B,21100060,1-3,240,480,432,48,0,0,187,245,420,187,233,146,73,73,420,146,256,1,0,120,120,0,246.61740626320542,173,65,108,162,61,101,173,65,108,0,0,0,36,3,0,152.22027792665298,0,0
A,21100061,2-3,223,446,446,0,0,0,202,244,440,202,238,181,92,89,440,181,277,1,0,164,164,0,338.72081663445,208,94,114,202,88,114,208,94,114,21,21,21,55,13,0,177.48151824895677,0,0
B,21100061,2-3,240,480,429,51,0,0,149,280,420,149,271,129,61,68,420,127,210,1,0,92,92,0,189.2294778145199,170,44,126,165,43,122,167,44,123,6,6,6,33,3,0,131.53556777311815,0,0
A,21100062,0-1,240,480,438,42,0,0,232,206,432,230,202,193,134,59,432,190,286,1,0,124,124,0,253.66389968136673,184,82,102,169,79,90,178,81,97,9,9,9,38,2,0,80.65203191170559,0,0
B,21100062,0-1,240,480,458,22,0,0,104,354,455,104,351,82,46,36,455,82,138,1,0,65,65,0,135.43942700317254,200,40,160,193,37,156,197,38,159,0,0,0,114,2,0,47.81612184605986,0,0
A,21100063,0-2,156,312,267,45,0,0,142,125,260,141,119,114,74,40,260,113,184,0,0,75,75,0,150.02193975732567,103,47,56,98,44,54,103,47,56,0,0,0,23,3,0,90.34956491719407,0,0
