seed,pole,arm,composition,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
20200060,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,2,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,344,136,242,238,179,0
20200061,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,0,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,86,394,401,79,207,0
20200062,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,0,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,94,386,376,104,197,0
20200063,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,304,176,294,186,134,0
20200064,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,1,0,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,194,286,390,90,154,0
20200001,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,862,98,674,188,28,70,273,1
20200002,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",4,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,882,78,582,300,37,41,255,1
20200003,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",4,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,882,78,620,262,46,32,268,1
20200004,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",4,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,870,90,554,316,25,65,243,1
20200005,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,1,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,826,134,624,202,83,51,272,3
