arm,pole,seed,n_win,win_pass,n_win_free,win_free_pass,n_t,head_pass
N_prime,A,21200084,120,85,0,0,128,7
A_prime,B,21200084,183,176,0,0,328,121
N_prime,B,21200084,213,118,4,4,351,24
A_prime,A,21200085,46,43,0,0,291,165
N_prime,A,21200085,104,65,0,0,305,76
A_prime,B,21200085,197,182,0,0,321,82
N_prime,B,21200085,212,112,4,4,404,53
A_prime,A,21200086,148,116,0,0,314,135
N_prime,A,21200086,160,117,0,0,292,83
A_prime,B,21200086,224,205,5,4,341,64
N_prime,B,21200086,224,207,28,26,116,38
A_prime,A,21200087,47,47,0,0,296,179
N_prime,A,21200087,200,123,4,4,385,36
A_prime,B,21200087,197,174,3,3,429,151
N_prime,B,21200087,187,94,0,0,410,37
A_prime,A,21200088,58,52,0,0,272,162
N_prime,A,21200088,150,74,3,3,243,10
A_prime,B,21200088,224,201,5,4,343,59
N_prime,B,21200088,217,147,1,1,298,39
A_prime,A,21200089,183,147,2,2,426,144
N_prime,A,21200089,204,99,11,9,314,19
A_prime,B,21200089,158,136,6,6,352,108
N_prime,B,21200089,187,110,0,0,343,50
A_prime,A,21200090,117,112,0,0,211,79
N_prime,A,21200090,108,69,9,7,209,25
A_prime,B,21200090,187,163,21,19,352,105
N_prime,B,21200090,200,167,10,10,192,11
A_prime,A,21200091,196,190,7,7,321,60
N_prime,A,21200091,224,212,0,0,57,1
A_prime,B,21200091,224,209,3,3,362,61
N_prime,B,21200091,200,115,0,0,374,38
A_prime,A,21200092,139,123,3,3,300,97
N_prime,A,21200092,160,70,1,0,358,48
A_prime,B,21200092,198,164,0,0,421,171
N_prime,B,21200092,199,138,0,0,276,42
A_prime,A,21200093,160,140,4,1,373,120
N_prime,A,21200093,131,80,13,7,274,46
A_prime,B,21200093,173,154,0,0,352,113
N_prime,B,21200093,175,124,20,20,273,32
A_prime,A,21200094,72,50,8,8,299,172
N_prime,A,21200094,83,36,0,0,255,51
A_prime,B,21200094,173,147,0,0,338,108
N_prime,B,21200094,199,125,2,2,282,27
A_prime,A,21200095,43,31,0,0,296,191
N_prime,A,21200095,60,36,0,0,294,102
A_prime,B,21200095,171,137,4,4,381,126
N_prime,B,21200095,198,135,25,25,253,11
A_prime,A,21200096,40,35,0,0,267,178
N_prime,A,21200096,212,149,4,4,282,26
A_prime,B,21200096,152,132,0,0,318,119
N_prime,B,21200096,211,155,0,0,246,35
A_prime,A,21200097,152,149,1,1,217,29
N_prime,A,21200097,31,11,0,0,288,121
A_prime,B,21200097,224,215,0,0,303,32
N_prime,B,21200097,122,96,0,0,223,64
A_prime,A,21200098,81,76,0,0,296,144
N_prime,A,21200098,52,32,0,0,311,105
A_prime,B,21200098,224,217,0,0,256,10
N_prime,B,21200098,224,204,0,0,86,2
A_prime,A,21200099,27,22,0,0,272,176
N_prime,A,21200099,113,29,0,0,269,22
A_prime,B,21200099,211,182,0,0,347,84
N_prime,B,21200099,224,158,9,9,213,9
A_prime,A,21200100,101,78,3,3,332,186
N_prime,A,21200100,198,147,24,23,307,48
A_prime,B,21200100,197,181,0,0,332,90
N_prime,B,21200100,198,167,0,0,211,24
A_prime,A,21200101,224,216,8,8,350,68
N_prime,A,21200101,156,109,5,4,290,77
A_prime,B,21200101,224,213,10,10,312,37
N_prime,B,21200101,201,128,1,1,317,18
A_prime,A,21200102,134,120,19,19,262,72
N_prime,A,21200102,224,136,11,11,291,17
A_prime,B,21200102,199,182,0,0,348,87
N_prime,B,21200102,214,165,17,17,236,29
A_prime,A,21200103,87,68,0,0,329,170
N_prime,A,21200103,199,108,5,3,408,47
A_prime,B,21200103,224,204,10,10,330,69
N_prime,B,21200103,212,125,0,0,352,31
A_prime,A,21200104,100,80,0,0,325,177
N_prime,A,21200104,46,14,0,0,299,110
A_prime,B,21200104,224,205,4,4,329,59
N_prime,B,21200104,224,182,9,9,146,10
A_prime,A,21200105,56,52,0,0,309,196
N_prime,A,21200105,176,100,6,6,376,45
A_prime,B,21200105,22,20,0,0,275,185
N_prime,B,21200105,158,140,1,1,181,49
A_prime,A,21200106,110,105,0,0,153,22
N_prime,A,21200106,186,176,0,0,71,3
A_prime,B,21200106,211,197,10,10,352,128
N_prime,B,21200106,172,133,7,7,291,58
A_prime,A,21200107,124,107,0,0,368,195
N_prime,A,21200107,73,44,0,0,332,90
A_prime,B,21200107,44,42,0,0,307,193
N_prime,B,21200107,224,165,0,0,238,16
A_prime,A,21200108,73,61,0,0,312,155
N_prime,A,21200108,176,161,0,0,75,4
A_prime,B,21200108,199,169,6,5,390,125
N_prime,B,21200108,199,123,0,0,376,49
A_prime,A,21200109,151,125,3,0,396,186
N_prime,A,21200109,214,128,4,4,304,45
A_prime,B,21200109,196,185,0,0,347,97
N_prime,B,21200109,212,177,1,1,168,28
A_prime,A,21200110,168,142,0,0,340,100
N_prime,A,21200110,224,145,20,20,276,13
A_prime,B,21200110,199,173,0,0,390,105
N_prime,B,21200110,212,102,0,0,428,35
A_prime,A,21200111,55,37,0,0,309,186
N_prime,A,21200111,116,53,6,1,233,38
A_prime,B,21200111,196,156,26,26,307,50
N_prime,B,21200111,211,152,18,17,260,24
A_prime,A,21200112,52,49,0,0,295,174
N_prime,A,21200112,210,186,0,0,188,38
A_prime,B,21200112,210,197,11,11,366,104
N_prime,B,21200112,224,120,7,7,318,15
A_prime,A,21200113,117,100,1,1,281,108
N_prime,A,21200113,104,60,0,0,360,114
A_prime,B,21200113,224,210,3,3,286,28
N_prime,B,21200113,183,79,2,2,385,33
A_prime,A,21200114,224,222,25,23,289,71
N_prime,A,21200114,160,61,0,0,339,39
A_prime,B,21200114,184,159,21,19,350,129
N_prime,B,21200114,211,112,1,0,360,34
A_prime,A,21200115,184,159,6,6,383,133
N_prime,A,21200115,192,127,0,0,211,3
A_prime,B,21200115,224,197,11,11,316,54
N_prime,B,21200115,197,142,7,7,249,12
A_prime,A,21200116,112,84,1,1,360,188
N_prime,A,21200116,163,103,3,3,347,74
A_prime,B,21200116,224,204,5,5,374,91
N_prime,B,21200116,224,188,3,3,117,8
A_prime,A,21200117,42,40,0,0,274,178
N_prime,A,21200117,77,34,0,0,307,92
A_prime,B,21200117,195,179,3,3,376,100
N_prime,B,21200117,224,207,0,0,49,4
A_prime,A,21200118,80,69,4,4,317,193
N_prime,A,21200118,129,65,3,3,318,83
A_prime,B,21200118,224,210,7,7,296,31
N_prime,B,21200118,201,177,1,0,124,21
A_prime,A,21200119,95,75,0,0,322,181
N_prime,A,21200119,93,59,2,1,205,19
A_prime,B,21200119,211,191,0,0,308,85
N_prime,B,21200119,211,132,6,6,334,44
A_prime,A,21200120,124,120,5,5,312,139
N_prime,A,21200120,200,139,13,13,266,39
A_prime,B,21200120,174,154,0,0,344,103
N_prime,B,21200120,224,164,9,9,216,25
A_prime,A,21200121,148,140,13,13,198,33
N_prime,A,21200121,45,27,0,0,300,119
A_prime,B,21200121,224,216,0,0,261,20
N_prime,B,21200121,212,126,1,1,311,31
A_prime,A,21200122,145,127,12,8,296,121
N_prime,A,21200122,136,51,1,1,298,46
A_prime,B,21200122,224,223,2,2,311,66
N_prime,B,21200122,224,206,0,0,206,9
A_prime,A,21200123,212,174,1,1,384,114
N_prime,A,21200123,142,132,0,0,144,8
A_prime,B,21200123,224,204,2,2,300,42
N_prime,B,21200123,187,167,0,0,263,33
A_prime,A,21200124,125,103,2,2,247,63
N_prime,A,21200124,172,107,5,3,272,36
A_prime,B,21200124,196,157,12,12,375,141
N_prime,B,21200124,211,118,0,0,397,62
A_prime,A,21200125,198,161,1,1,407,114
N_prime,A,21200125,102,59,4,4,211,39
A_prime,B,21200125,211,189,5,5,360,117
N_prime,B,21200125,187,110,4,4,324,29
A_prime,A,21200126,118,104,20,20,300,126
N_prime,A,21200126,114,61,2,2,223,5
A_prime,B,21200126,198,162,4,4,368,94
N_prime,B,21200126,200,100,1,1,357,20
A_prime,A,21200127,174,165,1,1,280,82
N_prime,A,21200127,139,110,3,3,230,56
A_prime,B,21200127,170,156,0,0,325,116
N_prime,B,21200127,215,187,44,44,174,27
A_prime,A,21200128,224,216,6,6,326,73
N_prime,A,21200128,100,63,7,7,292,75
A_prime,B,21200128,200,192,0,0,309,71
N_prime,B,21200128,178,97,0,0,347,24
