scale,style,seed,arm,tick,agent,native_target_x,native_target_y,desired_bearing_degrees,effective_bearing_degrees,committed_w50_idx_before,trace_hash,requested_w50_idx,committed_w50_idx,commit_ticks_left_before,decision_boundary,target_jump_cells,bearing_change_degrees,switch_request,blocked_switch,stale_switch,adopted,decision_lag_ticks,lag_censored,alive,carrying,tagged
2v2,GUARD,19600001,I1_W50_NO_COMMIT,35,1,2.0,10.0,-110.732713,164.479875,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,38.16394,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,36,0,17.0,10.0,-4.515103,-1.144918,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,7e-06,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,36,1,2.0,10.0,-69.384178,164.47828,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,41.348535,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,37,0,17.0,10.0,-4.515106,-0.811834,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,3e-06,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,37,1,2.0,10.0,-21.637941,164.476123,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,47.746237,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,38,0,17.0,10.0,-4.51511,-0.405815,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,4e-06,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,38,1,2.0,10.0,35.525273,164.474521,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,57.163215,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,39,0,17.0,10.0,-4.515115,0.099981,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,5e-06,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,39,1,2.0,10.0,92.940691,164.47407,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,57.415418,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,40,0,17.0,10.0,-4.515102,0.747383,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,1.3e-05,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,40,1,2.0,10.0,140.569551,164.474904,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,47.62886,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,41,0,17.0,10.0,-4.515108,1.605234,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,5e-06,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,41,1,2.0,10.0,-178.518543,164.476788,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,40.911906,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,42,0,17.0,10.0,-4.515116,2.795425,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,9e-06,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,42,1,4.775702,8.861809,-28.370235,-36.128104,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,14,0,0,1,3.0,150.148308,1,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,43,0,17.0,10.0,-4.515089,4.555497,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,2.7e-05,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,43,1,4.699488,8.691273,-33.545085,-39.096707,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,14,0,0,1,0.186792,5.17485,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,44,0,17.0,10.0,-4.515098,7.415676,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,8e-06,0,0,0,1,,0,1,0,0
