arm,pole,seed,pair,steps,blue,red,win,margin
A_prime,A,21100067,2-3,240,1,0,1,1
A_prime,B,21100067,2-3,240,1,2,0,-1
pi_B,A,21100067,,240,0,0,0,0
pi_B,B,21100067,,240,0,0,0,0
pi_A,A,21100068,,240,1,0,1,1
pi_A,B,21100068,,240,2,0,1,2
A_prime,A,21100068,0-1,198,3,0,1,3
A_prime,B,21100068,0-1,240,0,0,0,0
pi_B,A,21100068,,141,3,0,1,3
pi_B,B,21100068,,240,1,2,0,-1
pi_A,A,21100069,,240,1,0,1,1
pi_A,B,21100069,,91,3,0,1,3
A_prime,A,21100069,0-2,240,1,1,0,0
A_prime,B,21100069,0-2,240,0,0,0,0
pi_B,A,21100069,,240,0,1,0,-1
pi_B,B,21100069,,240,1,0,1,1
pi_A,A,21100070,,122,3,0,1,3
pi_A,B,21100070,,166,3,0,1,3
A_prime,A,21100070,0-3,164,3,0,1,3
A_prime,B,21100070,0-3,240,0,2,0,-2
pi_B,A,21100070,,240,0,0,0,0
pi_B,B,21100070,,240,2,1,1,1
pi_A,A,21100071,,240,2,0,1,2
pi_A,B,21100071,,240,0,0,0,0
A_prime,A,21100071,1-2,240,0,0,0,0
A_prime,B,21100071,1-2,240,0,2,0,-2
pi_B,A,21100071,,240,0,0,0,0
pi_B,B,21100071,,240,1,1,0,0
pi_A,A,21100072,,91,3,0,1,3
pi_A,B,21100072,,240,0,0,0,0
A_prime,A,21100072,1-3,240,2,0,1,2
A_prime,B,21100072,1-3,240,1,1,0,0
pi_B,A,21100072,,240,2,0,1,2
pi_B,B,21100072,,240,0,0,0,0
pi_A,A,21100073,,84,3,0,1,3
pi_A,B,21100073,,170,3,0,1,3
A_prime,A,21100073,2-3,240,0,0,0,0
A_prime,B,21100073,2-3,240,1,0,1,1
pi_B,A,21100073,,104,3,0,1,3
pi_B,B,21100073,,240,2,2,0,0
pi_A,A,21100074,,240,1,0,1,1
pi_A,B,21100074,,86,3,0,1,3
A_prime,A,21100074,0-1,176,3,1,1,2
A_prime,B,21100074,0-1,240,1,0,1,1
pi_B,A,21100074,,240,0,0,0,0
pi_B,B,21100074,,240,0,0,0,0
pi_A,A,21100075,,240,2,0,1,2
pi_A,B,21100075,,84,3,0,1,3
A_prime,A,21100075,0-2,240,2,0,1,2
A_prime,B,21100075,0-2,240,1,0,1,1
pi_B,A,21100075,,240,0,0,0,0
pi_B,B,21100075,,146,3,0,1,3
pi_A,A,21100076,,240,1,0,1,1
pi_A,B,21100076,,240,1,0,1,1
A_prime,A,21100076,0-3,199,3,1,1,2
A_prime,B,21100076,0-3,240,1,1,0,0
pi_B,A,21100076,,240,0,0,0,0
pi_B,B,21100076,,240,1,0,1,1
pi_A,A,21100077,,240,0,0,0,0
pi_A,B,21100077,,240,0,0,0,0
A_prime,A,21100077,1-2,240,2,0,1,2
A_prime,B,21100077,1-2,240,0,1,0,-1
pi_B,A,21100077,,240,0,0,0,0
pi_B,B,21100077,,240,2,0,1,2
pi_A,A,21100078,,240,2,0,1,2
pi_A,B,21100078,,240,2,0,1,2
A_prime,A,21100078,1-3,240,0,0,0,0
A_prime,B,21100078,1-3,240,0,0,0,0
pi_B,A,21100078,,240,0,0,0,0
pi_B,B,21100078,,240,1,0,1,1
pi_A,A,21100079,,240,2,0,1,2
pi_A,B,21100079,,240,2,0,1,2
A_prime,A,21100079,2-3,240,1,1,0,0
A_prime,B,21100079,2-3,240,0,2,0,-2
pi_B,A,21100079,,240,0,0,0,0
pi_B,B,21100079,,240,0,2,0,-2
pi_A,A,21100080,,240,1,0,1,1
pi_A,B,21100080,,122,3,0,1,3
A_prime,A,21100080,0-1,179,3,0,1,3
A_prime,B,21100080,0-1,240,0,2,0,-2
pi_B,A,21100080,,240,2,0,1,2
pi_B,B,21100080,,240,1,0,1,1
pi_A,A,21100081,,240,2,0,1,2
pi_A,B,21100081,,240,0,0,0,0
A_prime,A,21100081,0-2,240,0,0,0,0
A_prime,B,21100081,0-2,240,0,0,0,0
pi_B,A,21100081,,240,1,0,1,1
pi_B,B,21100081,,240,1,1,0,0
pi_A,A,21100082,,240,2,0,1,2
pi_A,B,21100082,,110,3,0,1,3
A_prime,A,21100082,0-3,240,1,0,1,1
A_prime,B,21100082,0-3,240,1,0,1,1
pi_B,A,21100082,,240,2,1,1,1
pi_B,B,21100082,,240,2,0,1,2
pi_A,A,21100083,,240,1,0,1,1
pi_A,B,21100083,,118,3,0,1,3
A_prime,A,21100083,1-2,240,0,1,0,-1
A_prime,B,21100083,1-2,240,1,1,0,0
pi_B,A,21100083,,240,0,0,0,0
pi_B,B,21100083,,240,1,0,1,1
pi_A,A,21100084,,240,1,0,1,1
pi_A,B,21100084,,240,0,0,0,0
A_prime,A,21100084,1-3,240,2,2,0,0
A_prime,B,21100084,1-3,240,0,0,0,0
pi_B,A,21100084,,240,0,0,0,0
pi_B,B,21100084,,240,2,0,1,2
pi_A,A,21100085,,240,0,0,0,0
pi_A,B,21100085,,240,0,0,0,0
A_prime,A,21100085,2-3,240,2,1,1,1
A_prime,B,21100085,2-3,240,1,0,1,1
pi_B,A,21100085,,240,1,1,0,0
pi_B,B,21100085,,240,0,0,0,0
pi_A,A,21100086,,240,1,0,1,1
pi_A,B,21100086,,240,0,0,0,0
A_prime,A,21100086,0-1,240,2,0,1,2
A_prime,B,21100086,0-1,240,1,0,1,1
pi_B,A,21100086,,163,3,1,1,2
pi_B,B,21100086,,240,0,0,0,0
pi_A,A,21100087,,240,1,0,1,1
pi_A,B,21100087,,240,0,0,0,0
A_prime,A,21100087,0-2,206,3,1,1,2
A_prime,B,21100087,0-2,240,0,0,0,0
pi_B,A,21100087,,240,0,0,0,0
pi_B,B,21100087,,240,1,1,0,0
pi_A,A,21100088,,240,1,0,1,1
pi_A,B,21100088,,182,3,0,1,3
A_prime,A,21100088,0-3,240,1,0,1,1
A_prime,B,21100088,0-3,240,0,1,0,-1
pi_B,A,21100088,,240,1,1,0,0
pi_B,B,21100088,,240,0,0,0,0
pi_A,A,21100089,,240,1,0,1,1
pi_A,B,21100089,,240,0,0,0,0
A_prime,A,21100089,1-2,213,3,2,1,1
A_prime,B,21100089,1-2,240,1,0,1,1
pi_B,A,21100089,,240,2,0,1,2
pi_B,B,21100089,,240,0,0,0,0
pi_A,A,21100090,,240,1,0,1,1
pi_A,B,21100090,,240,0,0,0,0
A_prime,A,21100090,1-3,238,3,0,1,3
A_prime,B,21100090,1-3,240,0,0,0,0
pi_B,A,21100090,,240,2,1,1,1
pi_B,B,21100090,,239,3,1,1,2
pi_A,A,21100091,,240,1,0,1,1
pi_A,B,21100091,,240,1,0,1,1
A_prime,A,21100091,2-3,240,1,0,1,1
A_prime,B,21100091,2-3,240,0,1,0,-1
pi_B,A,21100091,,240,0,0,0,0
pi_B,B,21100091,,240,2,0,1,2
pi_A,A,21100092,,240,1,0,1,1
pi_A,B,21100092,,240,2,0,1,2
A_prime,A,21100092,0-1,207,3,0,1,3
A_prime,B,21100092,0-1,240,1,1,0,0
pi_B,A,21100092,,240,0,0,0,0
pi_B,B,21100092,,240,0,0,0,0
pi_A,A,21100093,,240,0,0,0,0
pi_A,B,21100093,,240,0,0,0,0
A_prime,A,21100093,0-2,240,1,1,0,0
A_prime,B,21100093,0-2,240,0,1,0,-1
