scale,style,seed,arm,tick,agent,E_v_tick,trace_hash
2v2,GUARD,19500004,I1_W50_NO_COMMIT,239,1,0.323765,8d09fde149d056b89f60e251a8ae94c1d62207ffbc739d01466de1290471e43d
2v2,GUARD,19500004,I2_W50_CURRENT_COMMIT,239,0,0.356174,8d09fde149d056b89f60e251a8ae94c1d62207ffbc739d01466de1290471e43d
2v2,GUARD,19500004,I2_W50_CURRENT_COMMIT,239,1,0.356174,8d09fde149d056b89f60e251a8ae94c1d62207ffbc739d01466de1290471e43d
2v2,GUARD,19500004,I3_FULL_CURRENT_MACRO,239,0,0.357114,8d09fde149d056b89f60e251a8ae94c1d62207ffbc739d01466de1290471e43d
2v2,GUARD,19500004,I3_FULL_CURRENT_MACRO,239,1,0.357114,8d09fde149d056b89f60e251a8ae94c1d62207ffbc739d01466de1290471e43d
2v2,BREACH,19500004,I0_CONTINUOUS_ORACLE,239,0,0.364087,b4e5e128a432e8b4b1cfdac5308e53de1dc25caa3d14c24caf7816403bbbcdae
2v2,BREACH,19500004,I0_CONTINUOUS_ORACLE,239,1,0.364087,b4e5e128a432e8b4b1cfdac5308e53de1dc25caa3d14c24caf7816403bbbcdae
2v2,BREACH,19500004,I1_W50_NO_COMMIT,239,0,0.447258,b4e5e128a432e8b4b1cfdac5308e53de1dc25caa3d14c24caf7816403bbbcdae
2v2,BREACH,19500004,I1_W50_NO_COMMIT,239,1,0.447258,b4e5e128a432e8b4b1cfdac5308e53de1dc25caa3d14c24caf7816403bbbcdae
2v2,BREACH,19500004,I2_W50_CURRENT_COMMIT,239,0,0.558381,b4e5e128a432e8b4b1cfdac5308e53de1dc25caa3d14c24caf7816403bbbcdae
2v2,BREACH,19500004,I2_W50_CURRENT_COMMIT,239,1,0.558381,b4e5e128a432e8b4b1cfdac5308e53de1dc25caa3d14c24caf7816403bbbcdae
2v2,BREACH,19500004,I3_FULL_CURRENT_MACRO,239,0,0.531602,b4e5e128a432e8b4b1cfdac5308e53de1dc25caa3d14c24caf7816403bbbcdae
2v2,BREACH,19500004,I3_FULL_CURRENT_MACRO,239,1,0.531602,b4e5e128a432e8b4b1cfdac5308e53de1dc25caa3d14c24caf7816403bbbcdae
4v4,GUARD,19500004,I0_CONTINUOUS_ORACLE,239,0,0.404078,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,GUARD,19500004,I0_CONTINUOUS_ORACLE,239,1,0.404078,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,GUARD,19500004,I0_CONTINUOUS_ORACLE,239,2,0.404078,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,GUARD,19500004,I0_CONTINUOUS_ORACLE,239,3,0.404078,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,GUARD,19500004,I1_W50_NO_COMMIT,239,0,0.47227,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,GUARD,19500004,I1_W50_NO_COMMIT,239,1,0.47227,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,GUARD,19500004,I1_W50_NO_COMMIT,239,2,0.47227,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,GUARD,19500004,I1_W50_NO_COMMIT,239,3,0.47227,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,GUARD,19500004,I2_W50_CURRENT_COMMIT,239,0,0.514257,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,GUARD,19500004,I2_W50_CURRENT_COMMIT,239,1,0.514257,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
