policy,pole,arm,seed,defender_id,blue,red,win,margin,steps,sealed_blue,sealed_red,time_to_first_carry,time_to_first_carry_excl_defender,n_carry_starts,n_carry_starts_excl_defender,total_carry_ticks,total_carry_ticks_excl_defender,n_carry_clean_release,n_carry_tag_caught,red_carrying_ticks,n_red_carry_starts,tagged_ticks_total,tagged_fraction,first_tag_tick,mean_active_count
pi_B,B,plus_one_defender,20900009,5,1,0,1,1,240,1,0,13.0,13.0,12,12,46,46,1,11,3,1,506,0.35138888888888886,7.0,3.8916666666666666
pi_A,A,native,20900010,0,2,0,1,2,240,2,0,13.0,13.0,4,3,202,188,2,1,176,4,106,0.07361111111111111,9.0,5.558333333333334
pi_A,A,plus_one_defender,20900010,0,1,0,1,1,240,1,0,13.0,13.0,4,4,213,213,1,2,205,2,168,0.11666666666666667,9.0,5.3
pi_A,B,native,20900010,0,3,0,1,3,117,3,0,12.0,12.0,8,7,54,52,2,5,0,0,191,0.2720797720797721,7.0,4.367521367521367
pi_A,B,plus_one_defender,20900010,0,3,0,1,3,177,3,0,12.0,12.0,9,9,57,57,2,6,1,1,326,0.3069679849340866,7.0,4.15819209039548
pi_B,A,native,20900010,0,1,0,1,1,240,1,0,13.0,13.0,3,3,212,212,1,1,185,2,75,0.052083333333333336,9.0,5.6875
pi_B,A,plus_one_defender,20900010,0,3,0,1,3,76,3,0,13.0,13.0,5,5,47,47,2,2,2,1,65,0.1425438596491228,9.0,5.144736842105263
pi_B,B,native,20900010,0,3,0,1,3,107,3,0,12.0,12.0,7,5,50,35,2,4,0,0,174,0.27102803738317754,7.0,4.373831775700935
pi_B,B,plus_one_defender,20900010,0,2,0,1,2,240,2,0,12.0,12.0,11,11,43,43,2,8,0,0,514,0.35694444444444445,7.0,3.8583333333333334
pi_A,A,native,20900011,1,0,0,0,0,240,0,0,16.0,23.0,2,1,219,217,0,1,216,1,46,0.03194444444444444,6.0,5.808333333333334
pi_A,A,plus_one_defender,20900011,1,0,0,0,0,240,0,0,15.0,15.0,3,3,223,223,0,2,213,1,135,0.09375,6.0,5.4375
pi_A,B,native,20900011,1,3,0,1,3,95,3,0,15.0,45.0,4,3,44,31,2,1,0,0,172,0.3017543859649123,6.0,4.189473684210526
pi_A,B,plus_one_defender,20900011,1,3,0,1,3,145,3,0,17.0,17.0,4,4,52,52,2,1,35,2,243,0.2793103448275862,6.0,4.324137931034483
pi_B,A,native,20900011,1,1,0,1,1,240,1,0,15.0,17.0,4,2,211,204,1,2,206,1,97,0.06736111111111111,6.0,5.595833333333333
pi_B,A,plus_one_defender,20900011,1,1,0,1,1,240,1,0,15.0,15.0,3,3,213,213,1,1,198,1,167,0.11597222222222223,6.0,5.304166666666666
pi_B,B,native,20900011,1,3,0,1,3,88,3,0,15.0,43.0,3,2,41,28,2,0,0,0,139,0.26325757575757575,6.0,4.420454545454546
pi_B,B,plus_one_defender,20900011,1,1,0,1,1,240,1,0,24.0,24.0,11,11,43,43,1,10,0,0,516,0.35833333333333334,6.0,3.85
pi_A,A,native,20900012,2,0,0,0,0,240,0,0,13.0,16.0,3,2,223,220,0,2,224,1,49,0.034027777777777775,9.0,5.795833333333333
