seed,t,agent,carrying,pressured,near_enemy_flag,near_own_flag,macro_driver,macro_student,macro_better
18900001,69,3,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,70,0,0,1,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,70,1,0,0,0,1,GET_FLAG,GET_FLAG,GO_TO
18900001,70,2,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,70,3,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,71,0,0,1,0,0,GET_FLAG,GO_TO,GO_TO
18900001,71,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,71,2,0,1,0,0,GO_TO,GO_TO,GO_TO
18900001,71,3,0,0,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,72,0,0,1,0,0,GO_TO,GET_FLAG,GO_TO
18900001,72,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,72,2,0,1,0,0,GO_TO,GO_TO,GO_TO
18900001,72,3,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,73,0,0,0,0,1,GO_TO,GET_FLAG,GO_TO
18900001,73,1,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,73,2,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,73,3,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,74,0,0,0,0,1,GO_TO,GET_FLAG,GO_TO
18900001,74,1,0,0,0,0,GO_TO,GET_FLAG,GO_TO
18900001,74,2,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,74,3,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,75,0,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,75,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,75,2,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,75,3,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,76,0,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,76,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,76,2,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,76,3,0,1,1,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,77,0,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,77,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,77,2,0,1,0,0,GO_TO,GO_TO,GO_TO
18900001,77,3,0,1,1,0,GO_TO,GO_TO,GO_TO
18900001,78,0,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,78,1,0,0,0,0,GO_TO,GET_FLAG,GO_TO
18900001,78,2,0,1,1,0,GO_TO,GO_TO,GO_TO
18900001,78,3,0,1,1,0,GO_TO,GET_FLAG,GO_TO
18900001,79,0,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,79,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,79,2,0,1,1,0,GO_TO,GO_TO,GO_TO
18900001,79,3,0,1,0,0,GO_TO,GET_FLAG,GO_TO
18900001,80,0,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,80,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,80,2,0,1,1,0,GO_TO,GO_TO,GO_TO
18900001,80,3,0,1,0,0,GO_TO,GET_FLAG,GO_TO
18900001,81,0,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,81,1,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,81,2,0,1,1,0,GO_TO,GET_FLAG,GO_TO
18900001,81,3,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,82,0,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,82,1,0,1,0,0,GO_TO,GO_TO,GO_TO
18900001,82,2,0,1,1,0,GO_TO,GO_TO,GO_TO
18900001,82,3,0,0,0,0,GO_TO,GET_FLAG,GO_TO
18900001,83,0,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,83,1,0,1,0,0,GO_TO,GO_TO,GO_TO
18900001,83,2,0,1,1,0,GO_TO,GO_TO,GO_TO
18900001,83,3,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,84,0,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,84,1,0,1,1,0,GO_TO,GO_TO,GO_TO
18900001,84,2,0,1,1,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,84,3,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,85,0,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,85,1,0,1,1,0,GO_TO,GET_FLAG,GO_TO
18900001,85,2,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,85,3,0,0,0,0,GO_TO,GET_FLAG,GO_TO
18900001,86,0,0,0,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,86,1,0,1,0,0,GO_TO,GO_TO,GO_TO
18900001,86,2,0,1,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,86,3,0,0,0,1,GO_TO,GET_FLAG,GO_TO
18900001,87,0,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,87,1,0,1,0,0,GO_TO,GO_TO,GO_TO
18900001,87,2,0,1,0,0,GET_FLAG,GET_FLAG,GO_TO
18900001,87,3,0,0,0,1,GET_FLAG,GET_FLAG,GO_TO
18900001,88,0,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,88,1,0,1,0,0,GO_TO,GET_FLAG,GO_TO
18900001,88,2,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,88,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,89,0,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,89,1,0,1,0,0,GO_TO,GO_TO,GO_TO
18900001,89,2,0,0,0,0,GO_TO,GET_FLAG,GO_TO
18900001,89,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,90,0,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,90,1,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,90,2,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,90,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,91,0,0,1,0,0,GO_TO,GO_TO,GO_TO
18900001,91,1,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,91,2,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,91,3,0,0,0,1,GO_TO,GET_FLAG,GET_FLAG
