seed,pole,assignment_arm,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_flag_captures,red_flag_captures,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
19800057,A,CLOSEST_DEFENDS,"2,3","0,1",3,2,1,0,240,3,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,354,126,256,224,164,0
19800058,A,CLOSEST_DEFENDS,"2,3","0,1",0,1,0,0,240,0,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,100,380,380,100,188,0
19800059,A,CLOSEST_DEFENDS,"2,3","0,1",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,82,398,413,67,232,0
19800060,A,CLOSEST_DEFENDS,"2,3","0,1",1,1,0,1,240,1,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,218,262,362,118,197,0
19800061,A,CLOSEST_DEFENDS,"1,2","0,3",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,82,398,403,77,203,0
19800062,A,CLOSEST_DEFENDS,"0,2","1,3",4,1,1,0,240,4,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,332,148,202,278,144,0
19800063,A,CLOSEST_DEFENDS,"2,3","0,1",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,178,302,299,181,165,0
19800064,A,CLOSEST_DEFENDS,"0,3","1,2",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,58,422,421,59,224,0
19800001,A,FARTHEST_DEFENDS,"0,2","1,3",3,2,1,0,240,3,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,372,108,228,252,174,0
19800002,A,FARTHEST_DEFENDS,"2,3","0,1",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,204,276,345,135,178,0
19800003,A,FARTHEST_DEFENDS,"0,1","2,3",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,200,280,303,177,179,0
19800004,A,FARTHEST_DEFENDS,"0,2","1,3",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,48,432,376,104,175,0
19800005,A,FARTHEST_DEFENDS,"2,3","0,1",3,1,1,0,240,3,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,326,154,219,261,145,0
19800006,A,FARTHEST_DEFENDS,"0,1","2,3",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,382,98,103,377,150,0
19800007,A,FARTHEST_DEFENDS,"0,2","1,3",2,3,0,0,240,2,3,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,302,178,318,162,217,0
19800008,A,FARTHEST_DEFENDS,"2,3","0,1",4,1,1,0,240,4,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,330,150,195,285,126,0
19800009,A,FARTHEST_DEFENDS,"2,3","0,1",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,384,96,145,335,166,0
19800010,A,FARTHEST_DEFENDS,"0,1","2,3",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,94,386,360,120,185,0
19800011,A,FARTHEST_DEFENDS,"1,3","0,2",2,3,0,0,240,2,3,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,374,106,306,174,195,0
19800012,A,FARTHEST_DEFENDS,"0,1","2,3",1,0,1,0,240,1,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,142,338,320,160,172,0
