arm,z,pole,seed,blue,red,win,margin
RUNG0_BLOCK2,z0,B,11970060,0,0,0,0
RUNG0_BLOCK2,z0,B,11970061,2,0,1,2
RUNG0_BLOCK2,z0,B,11970062,1,0,1,1
RUNG0_BLOCK2,z0,B,11970063,0,0,0,0
RUNG0_BLOCK2,z0,B,11970064,0,0,0,0
RUNG0_BLOCK2,z1,B,11970001,1,0,1,1
RUNG0_BLOCK2,z1,B,11970002,1,0,1,1
RUNG0_BLOCK2,z1,B,11970003,1,0,1,1
RUNG0_BLOCK2,z1,B,11970004,2,0,1,2
RUNG0_BLOCK2,z1,B,11970005,2,0,1,2
RUNG0_BLOCK2,z1,B,11970006,0,0,0,0
RUNG0_BLOCK2,z1,B,11970007,0,0,0,0
RUNG0_BLOCK2,z1,B,11970008,0,0,0,0
RUNG0_BLOCK2,z1,B,11970009,1,0,1,1
RUNG0_BLOCK2,z1,B,11970010,1,0,1,1
RUNG0_BLOCK2,z1,B,11970011,1,0,1,1
RUNG0_BLOCK2,z1,B,11970012,2,0,1,2
RUNG0_BLOCK2,z1,B,11970013,1,0,1,1
RUNG0_BLOCK2,z1,B,11970014,0,0,0,0
RUNG0_BLOCK2,z1,B,11970015,1,0,1,1
RUNG0_BLOCK2,z1,B,11970016,0,0,0,0
RUNG0_BLOCK2,z1,B,11970017,1,0,1,1
RUNG0_BLOCK2,z1,B,11970018,1,0,1,1
RUNG0_BLOCK2,z1,B,11970019,1,0,1,1
RUNG0_BLOCK2,z1,B,11970020,1,0,1,1
RUNG0_BLOCK2,z1,B,11970021,2,0,1,2
RUNG0_BLOCK2,z1,B,11970022,0,0,0,0
RUNG0_BLOCK2,z1,B,11970023,3,0,1,3
RUNG0_BLOCK2,z1,B,11970024,1,0,1,1
RUNG0_BLOCK2,z1,B,11970025,0,1,0,-1
RUNG0_BLOCK2,z1,B,11970026,1,0,1,1
RUNG0_BLOCK2,z1,B,11970027,0,0,0,0
RUNG0_BLOCK2,z1,B,11970028,3,0,1,3
