scale,style,seed,arm,E_v,E_x_rmse,trace_hash
4v4,GUARD,19500008,I2_W50_CURRENT_COMMIT,0.536546,2.34467,4a561601e91418a48fe3f5232534cab039199c29d7fcfefcd5aa22496c392685
4v4,GUARD,19500008,I3_FULL_CURRENT_MACRO,0.523951,1.757415,4a561601e91418a48fe3f5232534cab039199c29d7fcfefcd5aa22496c392685
4v4,BREACH,19500008,I0_CONTINUOUS_ORACLE,0.616898,1.539333,c796a57bff6d7223bd19f22d86e3ea8f7b2d9968eec17d85c678f4e7d8369cbe
4v4,BREACH,19500008,I1_W50_NO_COMMIT,0.760457,1.861448,c796a57bff6d7223bd19f22d86e3ea8f7b2d9968eec17d85c678f4e7d8369cbe
4v4,BREACH,19500008,I2_W50_CURRENT_COMMIT,0.998075,2.464653,c796a57bff6d7223bd19f22d86e3ea8f7b2d9968eec17d85c678f4e7d8369cbe
4v4,BREACH,19500008,I3_FULL_CURRENT_MACRO,0.935549,2.018524,c796a57bff6d7223bd19f22d86e3ea8f7b2d9968eec17d85c678f4e7d8369cbe
2v2,GUARD,19500009,I0_CONTINUOUS_ORACLE,0.234752,1.275193,9f9c846f93d5fc92cbe90ae7ff35340f50942bdc4248251372357073327ef054
2v2,GUARD,19500009,I1_W50_NO_COMMIT,0.228377,2.157776,9f9c846f93d5fc92cbe90ae7ff35340f50942bdc4248251372357073327ef054
2v2,GUARD,19500009,I2_W50_CURRENT_COMMIT,0.272583,2.422712,9f9c846f93d5fc92cbe90ae7ff35340f50942bdc4248251372357073327ef054
2v2,GUARD,19500009,I3_FULL_CURRENT_MACRO,0.261493,1.178966,9f9c846f93d5fc92cbe90ae7ff35340f50942bdc4248251372357073327ef054
2v2,BREACH,19500009,I0_CONTINUOUS_ORACLE,0.45415,1.684102,48a544c09d54760556e8ee9e346ec6f779dac04ffe2dabb793a4f9eaea2bd4a7
2v2,BREACH,19500009,I1_W50_NO_COMMIT,0.582891,2.057968,48a544c09d54760556e8ee9e346ec6f779dac04ffe2dabb793a4f9eaea2bd4a7
2v2,BREACH,19500009,I2_W50_CURRENT_COMMIT,0.744903,2.805735,48a544c09d54760556e8ee9e346ec6f779dac04ffe2dabb793a4f9eaea2bd4a7
2v2,BREACH,19500009,I3_FULL_CURRENT_MACRO,0.672318,1.724316,48a544c09d54760556e8ee9e346ec6f779dac04ffe2dabb793a4f9eaea2bd4a7
4v4,GUARD,19500009,I0_CONTINUOUS_ORACLE,0.448056,1.620182,76232e65d2f6062df0636d0e1a2f0d9778e811177d37cf31a72353464f9fac13
4v4,GUARD,19500009,I1_W50_NO_COMMIT,0.474914,2.414553,76232e65d2f6062df0636d0e1a2f0d9778e811177d37cf31a72353464f9fac13
4v4,GUARD,19500009,I2_W50_CURRENT_COMMIT,0.530888,2.463776,76232e65d2f6062df0636d0e1a2f0d9778e811177d37cf31a72353464f9fac13
4v4,GUARD,19500009,I3_FULL_CURRENT_MACRO,0.525295,1.760698,76232e65d2f6062df0636d0e1a2f0d9778e811177d37cf31a72353464f9fac13
4v4,BREACH,19500009,I0_CONTINUOUS_ORACLE,0.666839,1.632273,e0e6c07c2a7ee6081390f705348cce2848f3961c4b4e874dbd9c6f37f77ded04
4v4,BREACH,19500009,I1_W50_NO_COMMIT,0.786436,1.948234,e0e6c07c2a7ee6081390f705348cce2848f3961c4b4e874dbd9c6f37f77ded04
4v4,BREACH,19500009,I2_W50_CURRENT_COMMIT,1.042711,2.505819,e0e6c07c2a7ee6081390f705348cce2848f3961c4b4e874dbd9c6f37f77ded04
4v4,BREACH,19500009,I3_FULL_CURRENT_MACRO,0.970566,2.14308,e0e6c07c2a7ee6081390f705348cce2848f3961c4b4e874dbd9c6f37f77ded04
2v2,GUARD,19500010,I0_CONTINUOUS_ORACLE,0.210065,1.985064,3e97ce08d2f95c0b053c07cd29608b8193b4d8b9018f4fcb0bc7abd8b87a665f
2v2,GUARD,19500010,I1_W50_NO_COMMIT,0.293211,2.329911,3e97ce08d2f95c0b053c07cd29608b8193b4d8b9018f4fcb0bc7abd8b87a665f
2v2,GUARD,19500010,I2_W50_CURRENT_COMMIT,0.352222,3.418208,3e97ce08d2f95c0b053c07cd29608b8193b4d8b9018f4fcb0bc7abd8b87a665f
2v2,GUARD,19500010,I3_FULL_CURRENT_MACRO,0.377146,1.66363,3e97ce08d2f95c0b053c07cd29608b8193b4d8b9018f4fcb0bc7abd8b87a665f
2v2,BREACH,19500010,I0_CONTINUOUS_ORACLE,0.361448,1.340699,82149587e16f2ab643bd87302bd9e8d88d70871ff7618f3e6f95c2b0ca95e6bb
2v2,BREACH,19500010,I1_W50_NO_COMMIT,0.554243,1.785452,82149587e16f2ab643bd87302bd9e8d88d70871ff7618f3e6f95c2b0ca95e6bb
2v2,BREACH,19500010,I2_W50_CURRENT_COMMIT,0.728193,3.0257,82149587e16f2ab643bd87302bd9e8d88d70871ff7618f3e6f95c2b0ca95e6bb
2v2,BREACH,19500010,I3_FULL_CURRENT_MACRO,0.659161,2.020729,82149587e16f2ab643bd87302bd9e8d88d70871ff7618f3e6f95c2b0ca95e6bb
4v4,GUARD,19500010,I0_CONTINUOUS_ORACLE,0.412877,1.527531,17213e36ecc3164e060c09bd481ecb46e56a61475f77ecc06bf43cafdf3914da
4v4,GUARD,19500010,I1_W50_NO_COMMIT,0.481657,1.875466,17213e36ecc3164e060c09bd481ecb46e56a61475f77ecc06bf43cafdf3914da
4v4,GUARD,19500010,I2_W50_CURRENT_COMMIT,0.513193,2.046902,17213e36ecc3164e060c09bd481ecb46e56a61475f77ecc06bf43cafdf3914da
4v4,GUARD,19500010,I3_FULL_CURRENT_MACRO,0.513426,1.780585,17213e36ecc3164e060c09bd481ecb46e56a61475f77ecc06bf43cafdf3914da
4v4,BREACH,19500010,I0_CONTINUOUS_ORACLE,0.622799,1.4384,e046782d3defaa36c5f6784bf517420aa28e56005b1d12d42d0669aa098efe73
4v4,BREACH,19500010,I1_W50_NO_COMMIT,0.762192,1.909285,e046782d3defaa36c5f6784bf517420aa28e56005b1d12d42d0669aa098efe73
4v4,BREACH,19500010,I2_W50_CURRENT_COMMIT,0.998672,2.54175,e046782d3defaa36c5f6784bf517420aa28e56005b1d12d42d0669aa098efe73
4v4,BREACH,19500010,I3_FULL_CURRENT_MACRO,0.925636,1.901778,e046782d3defaa36c5f6784bf517420aa28e56005b1d12d42d0669aa098efe73
2v2,GUARD,19500011,I0_CONTINUOUS_ORACLE,0.222098,1.425957,e9d30f25948b8061b5cd8f43394529553e3acee6c492641cee4f073bf63eb9da
2v2,GUARD,19500011,I1_W50_NO_COMMIT,0.284421,1.970447,e9d30f25948b8061b5cd8f43394529553e3acee6c492641cee4f073bf63eb9da
2v2,GUARD,19500011,I2_W50_CURRENT_COMMIT,0.347317,2.623799,e9d30f25948b8061b5cd8f43394529553e3acee6c492641cee4f073bf63eb9da
2v2,GUARD,19500011,I3_FULL_CURRENT_MACRO,0.338938,1.67053,e9d30f25948b8061b5cd8f43394529553e3acee6c492641cee4f073bf63eb9da
2v2,BREACH,19500011,I0_CONTINUOUS_ORACLE,0.299741,1.728198,c72bb7bcabe41b4d376775e893d97383b934943dd4a6be203d68f30dbc0ffa88
2v2,BREACH,19500011,I1_W50_NO_COMMIT,0.379037,1.966521,c72bb7bcabe41b4d376775e893d97383b934943dd4a6be203d68f30dbc0ffa88
2v2,BREACH,19500011,I2_W50_CURRENT_COMMIT,0.423029,3.844219,c72bb7bcabe41b4d376775e893d97383b934943dd4a6be203d68f30dbc0ffa88
