opponent,map,episode_index,episode_seed,cell_seed,return_z0,return_z1,return_z2,return_z3,V_z0,V_z1,V_z2,V_z3,mean_z_return,oracle_selected_adv,online_proxy,oracle_best_z,critic_best_z
OP10,map_b_split_lane_v2,19,2161,2142,-10.0459385,-2.1117024,-3.968391,-8.7576885,-1.240408,-1.2126179,-1.3006084,-1.2374086,-6.22093,4.1092277,-0.89908457,1,1
OP10,map_b_split_lane_v2,20,2162,2142,-4.0820045,0.4344833,-0.19859745,-7.8170705,-1.4284453,-1.4403143,-1.4850163,-1.4777689,-2.9157972,3.3502805,1.8747976,1,0
OP10,map_b_split_lane_v2,21,2163,2142,-6.9593005,-3.8739555,-9.699328,-2.1917694,-1.3245065,-1.3036745,-1.3319483,-1.373234,-5.6810884,1.807133,-2.570281,3,1
OP10,map_b_split_lane_v2,22,2164,2142,-5.5488157,-7.7699575,-5.601415,-2.640104,-1.2570596,-1.2704475,-1.3676257,-1.3083785,-5.3900733,-2.3798842,-6.49951,3,0
OP10,map_b_split_lane_v2,23,2165,2142,-1.4213046,-5.0228934,-2.4857144,-5.8607044,-1.4048798,-1.3097804,-1.39116,-1.4037526,-3.6976542,-1.3252392,-3.713113,0,1
OP10,map_b_split_lane_v2,24,2166,2142,-2.4972124,-8.434365,-1.5296559,-7.906325,-1.245404,-1.2415946,-1.3436346,-1.2882924,-5.0918894,-3.342476,-7.192771,2,1
OP10,map_b_split_lane_v2,25,2167,2142,-6.6941524,-12.983896,-3.4639149,-7.8421497,-1.0832832,-1.0048108,-1.15012,-1.0799348,-7.7460284,-5.237868,-11.979086,2,1
OP10,map_b_split_lane_v2,26,2168,2142,-7.6790147,-5.481911,-3.0144458,-8.026385,-1.1208856,-1.0284288,-1.2296572,-1.1650329,-6.050439,0.5685277,-4.4534826,2,1
OP10,map_b_split_lane_v2,27,2169,2142,-0.012545743,-8.111403,-0.85610193,-0.43190774,-1.3855872,-1.2955153,-1.4798918,-1.4497468,-2.3529897,-5.758414,-6.8158884,0,1
OP10,map_b_split_lane_v2,28,2170,2142,-3.0080886,-8.581063,-0.16994764,-3.9865143,-1.3993356,-1.2886343,-1.3565414,-1.4177017,-3.9364033,-4.64466,-7.292429,2,1
OP10,map_b_split_lane_v2,29,2171,2142,-1.8906835,-15.870702,-4.4286184,-1.9590396,-1.0358553,-1.0163386,-1.0858223,-1.0045197,-6.0372605,-9.833441,-14.854363,0,3
OP10,map_b_split_lane_v2,30,2172,2142,-11.713657,-0.71528864,-1.339536,-0.47881714,-1.2262692,-1.2427449,-1.3387825,-1.2725556,-3.5618246,2.846536,0.5274563,3,0
OP10,map_b_split_lane_v2,31,2173,2142,-9.780646,-2.484294,-5.482945,-4.6242557,-0.99142617,-0.9601255,-1.0375409,-0.93683714,-5.593035,3.1087413,-1.5241685,1,3
OP10,map_b_split_lane_v2,32,2174,2142,-8.471416,-9.08317,-2.5942059,-11.975249,-1.0928316,-1.0877404,-1.1537402,-1.0860615,-8.031011,-1.0521593,-7.9954295,2,3
OP10,map_b_split_lane_v2,33,2175,2142,0.19783013,-2.2614808,-7.882212,-6.6651974,-0.9910623,-0.93842137,-1.0452104,-1.0049129,-4.1527653,1.8912845,-1.3230594,0,1
OP10,map_b_split_lane_v2,34,2176,2142,-5.448098,-1.2876627,0.16130301,0.5344551,-1.3218789,-1.1792011,-1.3130729,-1.3777025,-1.5100006,0.22233784,-0.10846162,3,1
OP10,map_b_split_lane_v2,35,2177,2142,-3.0747807,-1.887468,-4.986208,-2.0658157,-1.5222645,-1.4966033,-1.5169277,-1.5451005,-3.0035682,1.1161002,-0.39086473,1,1
OP10,map_b_split_lane_v2,36,2178,2142,-0.19593732,-1.550443,-6.883261,-1.09559,-1.4706094,-1.3531945,-1.4232264,-1.5134501,-2.4313078,0.88086474,-0.19724858,0,1
OP10,map_b_split_lane_v2,37,2179,2142,-10.570166,-1.5313805,-4.9637814,-0.4851419,-1.0373976,-0.9987417,-1.1288991,-1.0723603,-4.387617,2.8562365,-0.53263885,3,1
OP10,map_b_split_lane_v2,38,2180,2142,-9.599882,-10.460898,-7.317399,-0.8621892,-1.0980692,-1.046241,-1.1334393,-1.1241684,-7.0600915,-3.400807,-9.414658,3,1
